Value,Error,Radius,Cells
45.2631,0.0192,Bare,
396.506,0.0083,15 mm,Input 3
477.312,0.0027,30 mm,Input 4
445.018,0.0021,50 mm,Input 5
135.969,0.0016,90 mm,Input 6
