Value,Error,Radius,Cells
1075.53,0.0044,Bare,
11629.8,0.0016,15 mm,Input 3
17978.2,0.0004,30 mm,Input 4
22673.2,0.0003,50 mm,Input 5
12511.3,0.0002,90 mm,Input 6
