Value,Error,Radius,Cells
83.9683,0.0152,Bare,
44.561,0.0094,15 mm,Input 3
50.8817,0.0065,30 mm,Input 4
53.3545,0.0047,50 mm,Input 5
40.4371,0.0033,90 mm,Input 6
