Value,Error,Radius,Cells
1282.82,0.0051,Bare,
11778.3,0.0022,15 mm,Input 3
14257.3,0.0006,30 mm,Input 4
16309.7,0.0005,50 mm,Input 5
7361.46,0.0003,90 mm,Input 6
