Value,Error,Radius,Cells
97.4687,0.0163,Bare,
897.064,0.0068,15 mm,Input 3
1116.88,0.0022,30 mm,Input 4
1068.43,0.0017,50 mm,Input 5
341.251,0.0013,90 mm,Input 6
