Value,Error,Radius,Cells
4581.98,0.0024,Bare,
3799.77,0.0011,15 mm,Input 3
6409.01,0.0006,30 mm,Input 4
8956.79,0.0003,50 mm,Input 5
8193.8,0.0002,90 mm,Input 6
