Value,Error,Radius,Cells
1612.73,0.0038,Bare,
1010.35,0.0022,15 mm,Input 3
1345.36,0.0013,30 mm,Input 4
1588.81,0.0009,50 mm,Input 5
1317.89,0.0006,90 mm,Input 6
