Energy,Value,Error,Position
0.02477,0.00016592733211920604,0.0012,Pos A
0.02608,3.057854961832064e-05,0.0081,Pos A
0.02744,1.0064117647058823e-05,0.0118,Pos A
0.02889,1.8058206896551725e-06,0.0154,Pos A
0.03041,3.8801184210526305e-06,0.0142,Pos A
0.03201,6.2526875000000104e-06,0.0129,Pos A
0.0337,7.4620118343195095e-06,0.0123,Pos A
0.03547,8.00474576271186e-06,0.012,Pos A
0.03734,8.039518716577553e-06,0.012,Pos A
0.03931,8.579593908629443e-06,0.0116,Pos A
0.04138,8.865893719806752e-06,0.0112,Pos A
0.04355,9.198156682027657e-06,0.0108,Pos A
0.04584,1.0164934497816592e-05,0.0102,Pos A
0.04825,1.0158340248962645e-05,0.01,Pos A
0.0508,6.623803921568635e-06,0.0115,Pos A
0.05347,4.896666666666669e-06,0.0126,Pos A
0.05629,6.684751773049639e-06,0.0112,Pos A
0.05925,7.814222972972981e-06,0.0104,Pos A
0.06237,8.411506410256399e-06,0.0098,Pos A
0.06564,5.576788990825685e-06,0.0112,Pos A
0.0691,6.3944219653179364e-06,0.0106,Pos A
0.07274,8.183956043956034e-06,0.0094,Pos A
0.07657,4.423864229765013e-06,0.0117,Pos A
0.0806,7.916178660049616e-06,0.009,Pos A
0.08484,7.872783018867935e-06,0.0089,Pos A
0.0893,4.345022421524658e-06,0.0106,Pos A
0.094,5.444893617021282e-06,0.0097,Pos A
0.09896,3.424737903225802e-06,0.0112,Pos A
0.1041,3.6687548638132353e-06,0.0111,Pos A
0.1097,4.49396428571428e-06,0.0101,Pos A
0.1154,4.648298245614037e-06,0.0099,Pos A
0.1215,5.750540983606563e-06,0.0088,Pos A
0.1278,5.431666666666667e-06,0.0089,Pos A
0.1346,6.518764705882353e-06,0.0079,Pos A
0.1417,6.604422535211272e-06,0.0076,Pos A
0.1492,2.355479999999998e-06,0.0106,Pos A
0.157,4.167564102564102e-06,0.0087,Pos A
0.1653,4.179807228915662e-06,0.0086,Pos A
0.174,4.171218390804605e-06,0.0085,Pos A
0.1831,5.437351648351634e-06,0.0074,Pos A
0.1928,3.585216494845366e-06,0.0085,Pos A
0.2029,2.9614752475247526e-06,0.0089,Pos A
0.2136,3.3497570093457897e-06,0.0084,Pos A
0.2248,3.650375000000004e-06,0.008,Pos A
0.2367,3.367554621848741e-06,0.0081,Pos A
0.2491,3.1392419354838724e-06,0.0083,Pos A
0.2622,3.264511450381679e-06,0.008,Pos A
0.276,4.53114492753622e-06,0.0067,Pos A
0.2906,2.36422602739726e-06,0.0086,Pos A
0.3058,4.335467105263161e-06,0.0066,Pos A
0.322,4.1248148148148165e-06,0.0064,Pos A
0.3389,2.6066213017751523e-06,0.0076,Pos A
0.3567,4.3349887640449346e-06,0.006,Pos A
0.3755,3.2736914893617047e-06,0.0065,Pos A
0.3953,2.931156565656568e-06,0.0067,Pos A
0.416,2.246169082125604e-06,0.0073,Pos A
0.438,2.4022681818181796e-06,0.007,Pos A
0.461,2.3408695652173892e-06,0.0069,Pos A
0.4853,2.363263374485598e-06,0.0068,Pos A
0.5108,2.4841529411764685e-06,0.0066,Pos A
0.5377,2.4596951672862525e-06,0.0065,Pos A
0.566,2.3763674911660783e-06,0.0065,Pos A
0.5958,2.62892617449664e-06,0.0061,Pos A
0.6272,2.8585955414012754e-06,0.0057,Pos A
0.6601,2.750799392097261e-06,0.0057,Pos A
0.6949,2.36464942528736e-06,0.0058,Pos A
0.7315,2.310887978142072e-06,0.0058,Pos A
0.77,1.8887194805194814e-06,0.0062,Pos A
0.8105,1.5945753086419762e-06,0.0065,Pos A
0.8532,1.658149882903983e-06,0.0064,Pos A
0.898,1.5117901785714262e-06,0.0066,Pos A
0.9453,1.4111310782241012e-06,0.0067,Pos A
0.9951,1.3240843373493988e-06,0.0066,Pos A
1.048,1.2197618147448002e-06,0.0066,Pos A
1.103,1.2050200000000013e-06,0.0066,Pos A
1.16,1.2301157894736855e-06,0.0066,Pos A
1.222,1.2328516129032248e-06,0.0063,Pos A
1.286,9.195765624999992e-07,0.007,Pos A
1.353,9.090388059701499e-07,0.0069,Pos A
1.425,8.279791666666658e-07,0.0071,Pos A
1.5,7.025800000000005e-07,0.0075,Pos A
1.579,6.589873417721523e-07,0.0076,Pos A
1.662,6.226168674698797e-07,0.0076,Pos A
1.749,6.065540229885044e-07,0.0077,Pos A
1.842,5.32504301075269e-07,0.008,Pos A
1.938,4.346322916666673e-07,0.0085,Pos A
2.041,3.9957475728155346e-07,0.0087,Pos A
2.12,3.763227848101257e-07,0.01,Pos A
2.203,3.6115662650602524e-07,0.0102,Pos A
2.287,3.477035714285711e-07,0.0104,Pos A
2.37,3.149024096385535e-07,0.011,Pos A
2.456,2.888220930232563e-07,0.0112,Pos A
2.54,2.576619047619045e-07,0.0119,Pos A
2.627,2.3354942528735701e-07,0.0122,Pos A
2.713,2.3306627906976665e-07,0.0127,Pos A
