Energy,Value,Error,Position
0.06237,1.5980599672888568e-07,0.0015,Pos B
0.06564,1.7839357798165128e-08,0.0101,Pos B
0.0691,2.0550722543352654e-08,0.0095,Pos B
0.07274,2.580719780219777e-08,0.0085,Pos B
0.07657,1.3921801566579634e-08,0.0106,Pos B
0.0806,2.5434243176178624e-08,0.0082,Pos B
0.08484,2.502146226415098e-08,0.0081,Pos B
0.0893,1.3249170403587428e-08,0.0098,Pos B
0.094,1.6895042553191504e-08,0.0089,Pos B
0.09896,1.0465282258064504e-08,0.0104,Pos B
0.1041,1.136894941634243e-08,0.0101,Pos B
0.1097,1.3821589285714268e-08,0.0092,Pos B
0.1154,1.4791228070175447e-08,0.009,Pos B
0.1215,1.878147540983608e-08,0.008,Pos B
0.1278,1.7370317460317462e-08,0.0081,Pos B
0.1346,2.0485882352941177e-08,0.0072,Pos B
0.1417,2.0354507042253535e-08,0.007,Pos B
0.1492,6.848479999999994e-09,0.0101,Pos B
0.157,1.2618499999999996e-08,0.0082,Pos B
0.1653,1.2226626506024094e-08,0.0081,Pos B
0.174,1.2205517241379331e-08,0.0081,Pos B
0.1831,1.607516483516479e-08,0.007,Pos B
0.1928,1.0102216494845376e-08,0.0082,Pos B
0.2029,8.366128712871288e-09,0.0086,Pos B
0.2136,9.671962616822415e-09,0.0081,Pos B
0.2248,1.038562500000001e-08,0.0078,Pos B
0.2367,9.724621848739501e-09,0.0078,Pos B
0.2491,9.169677419354844e-09,0.0079,Pos B
0.2622,9.748702290076335e-09,0.0077,Pos B
0.276,1.371101449275359e-08,0.0065,Pos B
0.2906,6.5573424657534235e-09,0.0087,Pos B
0.3058,1.248565789473685e-08,0.007,Pos B
0.322,1.1699135802469142e-08,0.0204,Pos B
0.3389,6.679526627218946e-09,0.0077,Pos B
0.3567,1.1618876404494357e-08,0.0061,Pos B
0.3755,8.115478723404262e-09,0.0068,Pos B
0.3953,7.101818181818187e-09,0.007,Pos B
0.416,5.310483091787441e-09,0.0077,Pos B
0.438,5.919227272727267e-09,0.0072,Pos B
0.461,5.724217391304342e-09,0.0073,Pos B
0.4853,5.756255144032925e-09,0.0072,Pos B
0.5108,6.216862745098034e-09,0.0069,Pos B
0.5377,6.16156133828998e-09,0.0068,Pos B
0.566,5.856148409893995e-09,0.0069,Pos B
0.5958,6.563825503355694e-09,0.0064,Pos B
0.6272,6.696751592356691e-09,0.0062,Pos B
0.6601,6.1714589665653425e-09,0.0063,Pos B
0.6949,4.971867816091962e-09,0.0067,Pos B
0.7315,4.698743169398898e-09,0.0067,Pos B
0.77,3.724493506493509e-09,0.0073,Pos B
0.8105,3.0674814814814828e-09,0.0077,Pos B
0.8532,3.1881030444964898e-09,0.0076,Pos B
0.898,2.9183705357142818e-09,0.0079,Pos B
0.9453,2.656173361522198e-09,0.0082,Pos B
0.9951,2.409397590361448e-09,0.0082,Pos B
1.048,2.1722117202268407e-09,0.0083,Pos B
1.103,2.1181818181818207e-09,0.0082,Pos B
1.16,2.1132807017543882e-09,0.0083,Pos B
1.222,2.06448387096774e-09,0.0082,Pos B
1.286,1.4374390624999988e-09,0.0092,Pos B
1.353,1.4000089552238816e-09,0.0092,Pos B
1.425,1.2421944444444432e-09,0.0095,Pos B
1.5,1.0172266666666671e-09,0.0102,Pos B
1.579,9.260784810126586e-10,0.0104,Pos B
1.662,8.979373493975908e-10,0.0104,Pos B
1.749,8.578632183908027e-10,0.0105,Pos B
1.842,7.227387096774196e-10,0.0112,Pos B
1.938,5.994604166666675e-10,0.0121,Pos B
2.041,5.27842718446602e-10,0.0122,Pos B
2.12,5.042949367088596e-10,0.014,Pos B
2.203,4.665891566265075e-10,0.0143,Pos B
2.287,4.514392857142853e-10,0.0148,Pos B
2.37,4.23399999999999e-10,0.0155,Pos B
2.456,3.6390116279069827e-10,0.0161,Pos B
2.54,3.1426904761904736e-10,0.0173,Pos B
2.627,2.8447126436781693e-10,0.0178,Pos B
2.713,2.713441860465107e-10,0.0185,Pos B
2.8,2.55862068965518e-10,0.0192,Pos B
2.887,2.185666666666662e-10,0.0198,Pos B
2.975,2.0860454545454527e-10,0.0204,Pos B
3.063,2.0397840909090892e-10,0.021,Pos B
3.153,1.8134222222222253e-10,0.0218,Pos B
3.242,1.700516853932585e-10,0.0228,Pos B
3.333,1.544417582417579e-10,0.0236,Pos B
3.423,1.36867777777778e-10,0.0247,Pos B
3.514,1.3188571428571466e-10,0.0259,Pos B
3.606,1.252391304347825e-10,0.0252,Pos B
3.698,1.1612173913043467e-10,0.0265,Pos B
3.791,1.1172903225806455e-10,0.0274,Pos B
3.884,1.0628161290322583e-10,0.0281,Pos B
3.977,1.0317053763440864e-10,0.0299,Pos B
4.071,1.0503585106382996e-10,0.0282,Pos B
4.166,1.0452515789473613e-10,0.0284,Pos B
4.261,9.754957894736867e-11,0.0303,Pos B
4.356,8.634484210526339e-11,0.031,Pos B
4.453,9.49598969072161e-11,0.0295,Pos B
4.549,9.191145833333325e-11,0.0308,Pos B
4.646,8.706989690721692e-11,0.0327,Pos B
4.743,7.863195876288625e-11,0.0331,Pos B
