Energy,Value,Error,Position
0.3713,1.63308914668276e-08,0.0016,Pos B
0.3895,1.2000439560439566e-08,0.0055,Pos B
0.4092,1.1412436548223353e-08,0.0055,Pos B
0.4295,1.0620985221674885e-08,0.0057,Pos B
0.4503,1.0099855769230777e-08,0.0058,Pos B
0.4706,1.0067142857142837e-08,0.0059,Pos B
0.4924,9.448761467889915e-09,0.0059,Pos B
0.5148,4.065941964285708e-08,0.0033,Pos B
0.5377,5.840698689956352e-09,0.0074,Pos B
0.56,5.609775784753338e-09,0.0076,Pos B
0.584,5.476500000000021e-09,0.0076,Pos B
0.6084,5.036393442622933e-09,0.0079,Pos B
0.6334,4.756880000000017e-09,0.008,Pos B
0.6578,4.661475409836049e-09,0.0084,Pos B
0.6838,4.541692307692323e-09,0.0081,Pos B
0.7103,4.497207547169797e-09,0.0082,Pos B
0.7374,4.491365313653135e-09,0.0081,Pos B
0.7639,4.762150943396232e-09,0.008,Pos B
0.792,4.500569395017791e-09,0.0081,Pos B
0.8206,4.399965034965041e-09,0.0081,Pos B
0.8497,9.966563573883156e-09,0.0054,Pos B
0.9084,3.3678875638841584e-09,0.0066,Pos B
0.9391,2.7703876221498314e-09,0.0101,Pos B
0.9703,2.605544871794871e-09,0.0104,Pos B
1.002,2.5286656151419596e-09,0.0105,Pos B
1.034,2.490674999999998e-09,0.0105,Pos B
1.067,2.367163636363642e-09,0.0109,Pos B
1.101,2.181549999999998e-09,0.011,Pos B
1.135,2.1967882352941156e-09,0.0111,Pos B
1.169,2.168749999999998e-09,0.0113,Pos B
1.204,2.212357142857148e-09,0.011,Pos B
1.24,2.5298027777777752e-09,0.0101,Pos B
1.277,1.990464864864869e-09,0.0113,Pos B
1.314,1.9200216216216143e-09,0.0117,Pos B
1.35,2.1045611111111093e-09,0.0113,Pos B
1.389,1.7983717948717983e-09,0.0118,Pos B
1.427,1.8157131578947353e-09,0.0119,Pos B
1.466,2.622743589743595e-09,0.0097,Pos B
1.506,1.5159424999999986e-09,0.013,Pos B
1.547,1.5236609756097589e-09,0.0128,Pos B
1.588,1.598378048780482e-09,0.0127,Pos B
1.63,1.4433500000000062e-09,0.0132,Pos B
1.672,1.3742523809523797e-09,0.0135,Pos B
1.715,1.539395348837204e-09,0.0126,Pos B
1.759,1.6857590909090978e-09,0.012,Pos B
1.803,1.4726409090909077e-09,0.013,Pos B
1.848,1.6597911111111055e-09,0.0121,Pos B
1.893,1.4065066666666687e-09,0.0132,Pos B
1.939,1.1578195652173904e-09,0.0145,Pos B
1.986,1.3097553191489381e-09,0.0135,Pos B
2.034,1.1851562500000045e-09,0.014,Pos B
2.082,1.106324999999999e-09,0.0146,Pos B
2.13,1.2757479166666655e-09,0.0138,Pos B
2.18,1.0591419999999944e-09,0.015,Pos B
2.231,2.293313725490209e-09,0.0103,Pos B
2.281,1.0434979999999944e-09,0.0149,Pos B
2.333,9.982365384615375e-10,0.0151,Pos B
2.386,9.457358490566049e-10,0.0156,Pos B
2.438,9.339115384615377e-10,0.016,Pos B
2.492,9.064888888888919e-10,0.0159,Pos B
2.546,9.941944444444476e-10,0.0152,Pos B
2.601,9.823018181818153e-10,0.015,Pos B
2.657,8.273910714285707e-10,0.0166,Pos B
2.713,8.46026785714285e-10,0.0164,Pos B
2.771,8.268465517241404e-10,0.0164,Pos B
2.829,8.101396551724099e-10,0.0166,Pos B
2.888,7.884728813559359e-10,0.0165,Pos B
2.947,8.227355932203367e-10,0.0162,Pos B
3.007,7.84341666666666e-10,0.0165,Pos B
3.069,7.590064516129053e-10,0.0167,Pos B
3.129,7.011149999999993e-10,0.0177,Pos B
3.192,7.088809523809505e-10,0.0172,Pos B
3.255,7.310555555555588e-10,0.0172,Pos B
3.32,6.766923076923082e-10,0.0172,Pos B
3.385,7.170092307692314e-10,0.0175,Pos B
3.451,6.902742424242394e-10,0.0173,Pos B
3.517,6.865969696969714e-10,0.017,Pos B
3.584,6.521820895522371e-10,0.0179,Pos B
3.652,6.822720588235288e-10,0.0171,Pos B
3.722,6.800657142857158e-10,0.0172,Pos B
3.791,6.171260869565222e-10,0.0182,Pos B
3.861,5.863128571428547e-10,0.0182,Pos B
3.934,6.045452054794524e-10,0.0177,Pos B
4.005,5.453098591549317e-10,0.0192,Pos B
4.078,5.419835616438327e-10,0.0192,Pos B
4.153,5.484000000000052e-10,0.0186,Pos B
4.227,5.831621621621564e-10,0.0184,Pos B
4.304,5.357636363636367e-10,0.0189,Pos B
4.38,5.019973684210551e-10,0.0192,Pos B
4.458,5.753628205128184e-10,0.0182,Pos B
4.536,4.777923076923114e-10,0.0201,Pos B
4.616,4.684437499999996e-10,0.0197,Pos B
4.696,4.6109624999999957e-10,0.02,Pos B
4.777,4.5498395061728165e-10,0.0195,Pos B
4.859,4.748597560975618e-10,0.0192,Pos B
4.943,4.251880952380971e-10,0.0206,Pos B
5.026,4.292277108433726e-10,0.021,Pos B
5.111,4.054505882352943e-10,0.0212,Pos B
5.198,4.0873333333333034e-10,0.0208,Pos B
5.285,4.77911494252875e-10,0.0189,Pos B
5.373,4.224590909090905e-10,0.0201,Pos B
5.462,4.2705955056180006e-10,0.02,Pos B
5.552,5.252488888888897e-10,0.0182,Pos B
5.643,5.972318681318668e-10,0.0163,Pos B
5.735,8.349336956521691e-10,0.0141,Pos B
5.828,3.8007311827957e-10,0.0212,Pos B
5.922,4.5863510638298156e-10,0.0189,Pos B
6.017,6.660263157894692e-10,0.0159,Pos B
6.113,5.042239583333328e-10,0.0175,Pos B
6.21,2.278824742268052e-10,0.0288,Pos B
6.309,2.498656565656561e-10,0.0256,Pos B
6.408,6.598262626262613e-10,0.0153,Pos B
6.508,4.034500000000014e-10,0.0192,Pos B
6.61,3.6813823529411656e-10,0.0211,Pos B
6.713,2.069388349514568e-10,0.0276,Pos B
6.817,1.7858846153846137e-10,0.0295,Pos B
6.922,4.270885714285733e-10,0.0184,Pos B
7.028,1.4487452830188697e-10,0.0315,Pos B
7.135,2.475317757009341e-10,0.0248,Pos B
7.244,2.2123394495412848e-10,0.0262,Pos B
7.353,1.1854587155963306e-09,0.0109,Pos B
7.464,2.573963963963949e-10,0.0232,Pos B
7.576,3.7232053571428836e-10,0.0189,Pos B
7.69,2.3179122807017384e-09,0.0077,Pos B
7.805,5.846539130434817e-11,0.0452,Pos B
7.921,2.4397327586206783e-10,0.0236,Pos B
8.037,1.0466810344827537e-10,0.0338,Pos B
8.155,8.572033898305191e-11,0.0387,Pos B
8.275,2.5635499999999788e-11,0.0756,Pos B
8.396,3.181719008264451e-11,0.0613,Pos B
8.519,1.6968617886178953e-10,0.0311,Pos B
8.642,4.0424146341463634e-10,0.0185,Pos B
8.766,1.869370967741927e-11,0.0907,Pos B
8.891,2.426536e-10,0.0227,Pos B
9.018,8.554330708661372e-10,0.0121,Pos B
9.146,1.977890624999998e-11,0.0785,Pos B
9.275,4.080689922480634e-11,0.0533,Pos B
9.406,5.2434198473282354e-11,0.0448,Pos B
9.537,5.290030534351136e-12,0.1305,Pos B
9.67,4.41684962406018e-11,0.0494,Pos B
9.804,1.3623731343283547e-10,0.0296,Pos B
9.938,1.6312014925373094e-12,0.2239,Pos B
10.07,2.4755530303030362e-11,0.0741,Pos B
10.21,1.3122357142857089e-12,0.2689,Pos B
10.35,2.4267214285714496e-12,0.296,Pos B
10.49,8.17235714285711e-13,0.3127,Pos B
