Energy,Value,Error,Position
0.3713,1.2884971724450571e-05,0.001,Pos A
0.3895,9.529120879120883e-06,0.0036,Pos A
0.4092,9.011370558375636e-06,0.0036,Pos A
0.4295,8.59916256157636e-06,0.0037,Pos A
0.4503,8.080576923076929e-06,0.0038,Pos A
0.4706,7.753743842364516e-06,0.0039,Pos A
0.4924,7.644678899082574e-06,0.0038,Pos A
0.5148,3.083861607142853e-05,0.0022,Pos A
0.5377,4.793362445414864e-06,0.0048,Pos A
0.56,4.502331838565003e-06,0.005,Pos A
0.584,4.443500000000017e-06,0.0049,Pos A
0.6084,4.073336065573756e-06,0.0051,Pos A
0.6334,3.835496000000013e-06,0.0053,Pos A
0.6578,3.7097827868852325e-06,0.0055,Pos A
0.6838,3.546280769230781e-06,0.0054,Pos A
0.7103,4.0609056603773466e-06,0.0051,Pos A
0.7374,3.2874095940959395e-06,0.0057,Pos A
0.7639,3.5188113207547213e-06,0.0055,Pos A
0.792,3.4484412811387885e-06,0.0056,Pos A
0.8206,3.126503496503501e-06,0.0057,Pos A
0.8497,8.983092783505151e-06,0.0034,Pos A
0.9084,2.6328279386712104e-06,0.0045,Pos A
0.9391,2.5481368078175846e-06,0.0062,Pos A
0.9703,2.211355769230769e-06,0.0067,Pos A
1.002,2.6847287066246098e-06,0.0061,Pos A
1.034,2.5291999999999977e-06,0.0063,Pos A
1.067,1.97435151515152e-06,0.0071,Pos A
1.101,1.8741558823529394e-06,0.0072,Pos A
1.135,1.8478411764705867e-06,0.0073,Pos A
1.169,1.9027558823529392e-06,0.0072,Pos A
1.204,1.750977142857147e-06,0.0075,Pos A
1.24,1.994016666666665e-06,0.0069,Pos A
1.277,1.8319513513513552e-06,0.0072,Pos A
1.314,1.763075675675669e-06,0.0074,Pos A
1.35,1.8424638888888872e-06,0.0073,Pos A
1.389,1.573825641025644e-06,0.0077,Pos A
1.427,1.5888973684210513e-06,0.0077,Pos A
1.466,2.192592307692312e-06,0.0065,Pos A
1.506,1.256919999999999e-06,0.0088,Pos A
1.547,1.209687804878051e-06,0.0089,Pos A
1.588,1.1417170731707278e-06,0.0092,Pos A
1.63,1.7376595238095313e-06,0.0073,Pos A
1.672,1.124340476190475e-06,0.0094,Pos A
1.715,1.1460209302325542e-06,0.0091,Pos A
1.759,1.7760363636363709e-06,0.007,Pos A
1.803,1.12493409090909e-06,0.0091,Pos A
1.848,1.1833422222222183e-06,0.0087,Pos A
1.893,9.591666666666681e-07,0.01,Pos A
1.939,9.452434782608688e-07,0.0098,Pos A
1.986,1.0122723404255333e-06,0.0094,Pos A
2.034,9.0365416666667e-07,0.01,Pos A
2.082,9.328812499999992e-07,0.0098,Pos A
2.13,1.1118666666666656e-06,0.009,Pos A
2.18,8.724319999999954e-07,0.0101,Pos A
2.231,5.335686274509834e-06,0.0041,Pos A
2.281,7.900339999999958e-07,0.011,Pos A
2.333,7.070115384615378e-07,0.0113,Pos A
2.386,6.678509433962272e-07,0.0117,Pos A
2.438,6.960615384615378e-07,0.0113,Pos A
2.492,6.91164814814817e-07,0.0117,Pos A
2.546,7.354851851851876e-07,0.011,Pos A
2.601,6.818327272727253e-07,0.0116,Pos A
2.657,6.953017857142852e-07,0.0113,Pos A
2.713,6.540374999999993e-07,0.0119,Pos A
2.771,8.399879310344852e-07,0.0101,Pos A
2.829,5.618741379310318e-07,0.0124,Pos A
2.888,6.722406779661049e-07,0.0115,Pos A
2.947,5.785525423728797e-07,0.0123,Pos A
3.007,6.057649999999994e-07,0.0126,Pos A
3.069,5.664612903225822e-07,0.0122,Pos A
3.129,5.835299999999995e-07,0.0126,Pos A
3.192,6.020507936507921e-07,0.0119,Pos A
3.255,5.685650793650818e-07,0.0122,Pos A
3.32,6.426092307692313e-07,0.0117,Pos A
3.385,5.345215384615388e-07,0.0132,Pos A
3.451,7.977727272727239e-07,0.0102,Pos A
3.517,5.133500000000013e-07,0.0131,Pos A
3.584,4.832119402985063e-07,0.0135,Pos A
3.652,4.5760441176470546e-07,0.0132,Pos A
3.722,4.791314285714297e-07,0.0135,Pos A
3.791,4.748768115942032e-07,0.0133,Pos A
3.861,5.529999999999977e-07,0.0122,Pos A
3.934,5.000027397260277e-07,0.0126,Pos A
4.005,3.893014084507057e-07,0.0152,Pos A
4.078,3.7203013698629935e-07,0.0148,Pos A
4.153,3.5561466666667e-07,0.0151,Pos A
4.227,7.066459459459389e-07,0.0104,Pos A
4.304,3.921246753246755e-07,0.0143,Pos A
4.38,3.5745263157894917e-07,0.0151,Pos A
4.458,7.078615384615358e-07,0.0106,Pos A
4.536,3.7088461538461824e-07,0.015,Pos A
4.616,3.0952249999999973e-07,0.0159,Pos A
4.696,3.407249999999997e-07,0.0152,Pos A
