Energy,Value,Error,Position
0.06237,1.7181978542860314e-07,0.0015,Pos B
0.06564,1.8978654434250753e-08,0.0097,Pos B
0.0691,2.2031994219653235e-08,0.009,Pos B
0.07274,2.723499999999997e-08,0.0081,Pos B
0.07657,1.5298851174934723e-08,0.0101,Pos B
0.0806,2.7081885856079365e-08,0.0078,Pos B
0.08484,2.6594103773584943e-08,0.0077,Pos B
0.0893,1.4243811659192806e-08,0.0094,Pos B
0.094,1.8149595744680868e-08,0.0085,Pos B
0.09896,1.1332641129032244e-08,0.0098,Pos B
0.1041,1.2018832684824923e-08,0.0097,Pos B
0.1097,1.5139285714285695e-08,0.0087,Pos B
0.1154,1.5326631578947377e-08,0.0086,Pos B
0.1215,2.0010327868852476e-08,0.0075,Pos B
0.1278,1.9807619047619046e-08,0.0074,Pos B
0.1346,2.1620882352941173e-08,0.0069,Pos B
0.1417,2.1857887323943674e-08,0.0067,Pos B
0.1492,7.759439999999993e-09,0.0094,Pos B
0.157,1.3389487179487176e-08,0.0078,Pos B
0.1653,1.3070722891566263e-08,0.0077,Pos B
0.174,1.3535977011494274e-08,0.0075,Pos B
0.1831,1.695923076923072e-08,0.0067,Pos B
0.1928,1.112608247422682e-08,0.0077,Pos B
0.2029,9.12951485148515e-09,0.0081,Pos B
0.2136,1.0540841121495313e-08,0.0076,Pos B
0.2248,1.1639553571428585e-08,0.0073,Pos B
0.2367,1.039428571428572e-08,0.0073,Pos B
0.2491,1.0045000000000003e-08,0.0075,Pos B
0.2622,1.037618320610687e-08,0.0072,Pos B
0.276,1.4867608695652137e-08,0.0061,Pos B
0.2906,7.656506849315067e-09,0.0077,Pos B
0.3058,1.3236644736842112e-08,0.0062,Pos B
0.322,1.2633086419753094e-08,0.0062,Pos B
0.3389,7.346331360946758e-09,0.0073,Pos B
0.3567,1.222533707865166e-08,0.0058,Pos B
0.3755,8.951595744680859e-09,0.0064,Pos B
0.3953,8.186616161616168e-09,0.0065,Pos B
0.416,6.196135265700484e-09,0.007,Pos B
0.438,6.558499999999994e-09,0.0068,Pos B
0.461,6.223521739130429e-09,0.0068,Pos B
0.4853,6.828847736625518e-09,0.0065,Pos B
0.5108,6.744117647058817e-09,0.0065,Pos B
0.5377,6.466728624535334e-09,0.0065,Pos B
0.566,6.51862190812721e-09,0.0063,Pos B
0.5958,6.985268456375827e-09,0.0061,Pos B
0.6272,6.79958598726115e-09,0.006,Pos B
0.6601,6.618723404255311e-09,0.0061,Pos B
0.6949,5.369252873563228e-09,0.0063,Pos B
0.7315,5.176639344262285e-09,0.0064,Pos B
0.77,4.2354025974026e-09,0.0067,Pos B
0.8105,3.453481481481483e-09,0.0072,Pos B
0.8532,3.776159250585484e-09,0.0069,Pos B
0.898,3.3206473214285667e-09,0.0073,Pos B
0.9453,2.9677167019027478e-09,0.0075,Pos B
0.9951,2.7120080321285166e-09,0.0076,Pos B
1.048,2.3485444234404515e-09,0.0079,Pos B
1.103,2.230000000000003e-09,0.0079,Pos B
1.16,2.2022807017543882e-09,0.0079,Pos B
1.222,2.2605483870967723e-09,0.0077,Pos B
1.286,1.5872968749999985e-09,0.0086,Pos B
1.353,1.5082686567164191e-09,0.0086,Pos B
1.425,1.4185277777777765e-09,0.0089,Pos B
1.5,1.1338026666666673e-09,0.0095,Pos B
1.579,1.0533430379746842e-09,0.0096,Pos B
1.662,9.836445783132535e-10,0.0098,Pos B
1.749,9.431425287356303e-10,0.01,Pos B
1.842,8.073956989247315e-10,0.0104,Pos B
1.938,6.628208333333342e-10,0.0109,Pos B
2.041,5.938388349514565e-10,0.0113,Pos B
2.12,5.59144303797467e-10,0.0131,Pos B
2.203,5.371674698795197e-10,0.0132,Pos B
2.287,5.066976190476186e-10,0.0137,Pos B
2.37,4.692602409638543e-10,0.0145,Pos B
2.456,4.2328023255814026e-10,0.0147,Pos B
2.54,3.5813214285714253e-10,0.0157,Pos B
2.627,3.118620689655181e-10,0.0162,Pos B
2.713,3.189895348837198e-10,0.0165,Pos B
2.8,2.7767241379310423e-10,0.0175,Pos B
2.887,2.619551724137925e-10,0.0185,Pos B
2.975,2.553863636363634e-10,0.0184,Pos B
3.063,2.443624999999998e-10,0.0191,Pos B
3.153,2.1416000000000032e-10,0.0196,Pos B
3.242,1.9876741573033717e-10,0.0208,Pos B
3.333,1.8838351648351608e-10,0.0207,Pos B
3.423,1.7454444444444474e-10,0.0213,Pos B
3.514,1.644505494505499e-10,0.022,Pos B
3.606,1.5822826086956507e-10,0.0232,Pos B
3.698,1.3950434782608684e-10,0.0235,Pos B
3.791,1.394677419354839e-10,0.0239,Pos B
3.884,1.2883548387096778e-10,0.0248,Pos B
3.977,1.203666666666667e-10,0.0257,Pos B
4.071,1.1904680851063848e-10,0.026,Pos B
4.166,1.0969684210526241e-10,0.0272,Pos B
4.261,1.1422842105263189e-10,0.0268,Pos B
4.356,9.458442105263182e-11,0.0288,Pos B
4.453,1.0472577319587583e-10,0.0279,Pos B
4.549,1.0107729166666657e-10,0.0288,Pos B
4.646,9.746494845360873e-11,0.0289,Pos B
4.743,9.527938144329857e-11,0.0309,Pos B
4.84,9.053546391752621e-11,0.0307,Pos B
4.939,8.522848484848468e-11,0.0307,Pos B
5.038,8.815242424242408e-11,0.0311,Pos B
5.137,7.637656565656618e-11,0.033,Pos B
5.237,7.38543999999996e-11,0.0338,Pos B
5.337,7.374480000000027e-11,0.034,Pos B
5.437,7.035009999999963e-11,0.0342,Pos B
5.539,6.803147058823568e-11,0.0349,Pos B
5.64,6.825861386138616e-11,0.035,Pos B
5.741,6.44321782178218e-11,0.0352,Pos B
5.844,6.142563106796078e-11,0.0358,Pos B
5.947,6.078786407767005e-11,0.0379,Pos B
6.05,6.019961165048558e-11,0.0365,Pos B
6.154,5.976855769230764e-11,0.0365,Pos B
6.258,5.7300769230769183e-11,0.0382,Pos B
6.363,5.747866666666643e-11,0.0397,Pos B
6.468,5.5804666666666915e-11,0.0377,Pos B
6.573,6.122904761904737e-11,0.04,Pos B
6.679,5.855933962264158e-11,0.0379,Pos B
6.785,6.224160377358498e-11,0.0392,Pos B
6.892,5.902822429906531e-11,0.0386,Pos B
6.999,6.019130841121534e-11,0.0383,Pos B
7.106,5.484794392523354e-11,0.0401,Pos B
7.214,5.449824074074047e-11,0.0386,Pos B
7.322,5.0304166666666826e-11,0.04,Pos B
7.431,4.8075871559633035e-11,0.0417,Pos B
7.54,4.813100917431193e-11,0.0414,Pos B
7.649,5.0668623853211015e-11,0.0428,Pos B
7.759,5.0540454545454397e-11,0.0411,Pos B
7.87,4.8970900900901006e-11,0.0422,Pos B
7.98,4.767045454545441e-11,0.0426,Pos B
8.092,4.999616071428567e-11,0.0415,Pos B
8.203,5.339315315315369e-11,0.0416,Pos B
8.316,5.6275221238937394e-11,0.0407,Pos B
8.428,5.4019374999999954e-11,0.0424,Pos B
8.54,5.607133928571512e-11,0.0426,Pos B
8.653,5.933424778760993e-11,0.0407,Pos B
8.767,5.30954385964917e-11,0.0435,Pos B
8.881,5.511289473684173e-11,0.0413,Pos B
8.995,5.986789473684264e-11,0.0406,Pos B
9.11,5.3303217391304246e-11,0.0417,Pos B
9.226,5.4908275862068286e-11,0.0412,Pos B
9.341,5.587782608695728e-11,0.0408,Pos B
9.456,5.648060869565207e-11,0.0402,Pos B
9.573,5.869213675213632e-11,0.0407,Pos B
9.69,6.118512820512867e-11,0.041,Pos B
9.807,5.774008547008503e-11,0.0403,Pos B
9.924,5.589512820512863e-11,0.0431,Pos B
10.04,5.0493620689655316e-11,0.0451,Pos B
10.16,5.174899999999957e-11,0.0455,Pos B
10.28,4.63260000000003e-11,0.0477,Pos B
10.4,4.2919583333332975e-11,0.0481,Pos B
10.52,4.349366666666695e-11,0.0496,Pos B
10.64,4.5085749999999624e-11,0.0513,Pos B
10.76,4.1661083333333605e-11,0.0466,Pos B
10.88,4.291741666666631e-11,0.0495,Pos B
11.0,3.727200000000024e-11,0.0491,Pos B
11.12,4.057050000000026e-11,0.048,Pos B
11.24,3.6944166666666355e-11,0.0524,Pos B
11.36,3.745208333333358e-11,0.0498,Pos B
11.49,3.9422692307692073e-11,0.0507,Pos B
11.61,3.959866666666692e-11,0.0531,Pos B
11.73,3.5899916666666367e-11,0.0515,Pos B
11.86,3.6307846153846436e-11,0.0492,Pos B
11.98,3.912116666666634e-11,0.0528,Pos B
12.1,4.476308333333362e-11,0.05,Pos B
12.23,4.3749076923076657e-11,0.0455,Pos B
12.35,4.799991666666698e-11,0.0457,Pos B
12.48,5.3033153846153526e-11,0.0419,Pos B
12.6,5.361500000000035e-11,0.0425,Pos B
12.73,5.48017692307689e-11,0.0423,Pos B
12.86,6.147092307692355e-11,0.0387,Pos B
12.98,6.601291666666611e-11,0.0387,Pos B
13.11,7.422907692307749e-11,0.0371,Pos B
13.24,8.011538461538413e-11,0.0346,Pos B
13.37,8.424538461538526e-11,0.0324,Pos B
13.5,9.864999999999941e-11,0.034,Pos B
13.62,1.0409166666666736e-10,0.0313,Pos B
13.75,1.1904923076923007e-10,0.0301,Pos B
13.88,1.392338461538453e-10,0.0279,Pos B
14.01,1.6790923076923204e-10,0.0267,Pos B
14.14,1.8635999999999888e-10,0.0246,Pos B
14.27,2.502184615384634e-10,0.023,Pos B
14.4,3.167084615384597e-10,0.022,Pos B
14.53,3.5066153846154114e-10,0.022,Pos B
14.67,3.329221428571415e-10,0.0226,Pos B
14.8,2.4022230769230627e-10,0.0292,Pos B
14.93,1.4625307692307804e-10,0.0377,Pos B
15.06,9.244692307692251e-11,0.0489,Pos B
15.2,2.945914285714311e-11,0.0861,Pos B
15.33,2.9661538461538283e-12,0.2699,Pos B
15.46,0.0,0.0,Pos B
15.6,0.0,0.0,Pos B
