Energy,Value,Error,Position
0.3713,1.736296795512065e-08,0.0016,Pos B
0.3895,1.2968901098901102e-08,0.0055,Pos B
0.4092,1.230091370558376e-08,0.0054,Pos B
0.4295,1.1805123152709368e-08,0.0054,Pos B
0.4503,1.0973894230769238e-08,0.0056,Pos B
0.4706,1.0542660098522146e-08,0.0058,Pos B
0.4924,1.0272201834862393e-08,0.0057,Pos B
0.5148,4.257169642857137e-08,0.0032,Pos B
0.5377,6.4862445414847384e-09,0.0071,Pos B
0.56,6.032331838564996e-09,0.0075,Pos B
0.584,5.9235416666666886e-09,0.0074,Pos B
0.6084,5.497295081967193e-09,0.0076,Pos B
0.6334,5.119400000000018e-09,0.0078,Pos B
0.6578,5.105204918032768e-09,0.0081,Pos B
0.6838,4.820730769230785e-09,0.008,Pos B
0.7103,5.401132075471682e-09,0.0075,Pos B
0.7374,4.438892988929886e-09,0.0083,Pos B
0.7639,4.6466792452830246e-09,0.0083,Pos B
0.792,4.836548042704624e-09,0.0079,Pos B
0.8206,4.1944055944056e-09,0.0085,Pos B
0.8497,1.1847697594501713e-08,0.005,Pos B
0.9084,3.4906814310051123e-09,0.0067,Pos B
0.9391,3.2732573289902216e-09,0.0094,Pos B
0.9703,2.8754391025641018e-09,0.01,Pos B
1.002,3.504290220820195e-09,0.009,Pos B
1.034,3.2751249999999972e-09,0.0093,Pos B
1.067,2.647915151515158e-09,0.0103,Pos B
1.101,2.4885088235294095e-09,0.0107,Pos B
1.135,2.42841176470588e-09,0.0107,Pos B
1.169,2.490464705882351e-09,0.0106,Pos B
1.204,2.34806571428572e-09,0.011,Pos B
1.24,2.56894722222222e-09,0.0102,Pos B
1.277,2.375491891891897e-09,0.0106,Pos B
1.314,2.3450459459459368e-09,0.0107,Pos B
1.35,2.3831555555555535e-09,0.0108,Pos B
1.389,2.0534128205128247e-09,0.0112,Pos B
1.427,2.073702631578946e-09,0.0113,Pos B
1.466,2.732589743589749e-09,0.0098,Pos B
1.506,1.6526274999999983e-09,0.0125,Pos B
1.547,1.6633317073170761e-09,0.0128,Pos B
1.588,1.5363634146341408e-09,0.0131,Pos B
1.63,2.2262666666666766e-09,0.0107,Pos B
1.672,1.4855928571428559e-09,0.0131,Pos B
1.715,1.5081860465116227e-09,0.0132,Pos B
1.759,2.286795454545464e-09,0.0104,Pos B
1.803,1.4955431818181805e-09,0.0129,Pos B
1.848,1.589182222222217e-09,0.0125,Pos B
1.893,1.2655133333333355e-09,0.0144,Pos B
1.939,1.2648565217391292e-09,0.014,Pos B
1.986,1.3108617021276614e-09,0.0139,Pos B
2.034,1.2178958333333378e-09,0.0146,Pos B
2.082,1.2481541666666655e-09,0.014,Pos B
2.13,1.4590854166666652e-09,0.0131,Pos B
2.18,1.1285799999999938e-09,0.0147,Pos B
2.231,2.4418431372549154e-09,0.0102,Pos B
2.281,1.142235999999994e-09,0.0149,Pos B
2.333,1.050549999999999e-09,0.015,Pos B
2.386,9.926490566037747e-10,0.0153,Pos B
2.438,1.05564423076923e-09,0.0153,Pos B
2.492,9.802685185185216e-10,0.0154,Pos B
2.546,1.020792592592596e-09,0.015,Pos B
2.601,9.93778181818179e-10,0.0155,Pos B
2.657,1.0082589285714276e-09,0.0155,Pos B
2.713,9.354160714285706e-10,0.0155,Pos B
2.771,1.1357448275862103e-09,0.014,Pos B
2.829,8.240775862068927e-10,0.0168,Pos B
2.888,9.355067796610213e-10,0.0153,Pos B
2.947,8.304830508474553e-10,0.0164,Pos B
