Value,Error,Cells-Segments
181306000000000.0,0.0051,22-1
173522000000000.0,0.0136,22-2
171163000000000.0,0.0261,22-3
162389000000000.0,0.0111,22-4
352098000000.0,0.0083,23-1
18368700000.0,0.1051,23-2
122362000000.0,0.0699,23-3
0.0,0.0,23-4
76606900000.0,0.0174,24-1
27897700000.0,0.0177,24-2
29308900000.0,0.0857,24-3
3376520000.0,0.0362,24-4
23286000000.0,0.0132,25-1
7428280000.0,0.0142,25-2
4291960000.0,0.0766,25-3
564021000.0,0.0525,25-4
