Energy,Value,Error,Cells-Segments
15.0,0.0,0.0,24-1
16.0,0.0,0.0,24-1
20.0,0.0,0.0,24-1
1e-10,0.0,0.0,24-2
1e-09,0.0,0.0,24-2
1e-08,155915.0,1.0,24-2
1e-07,19931300.0,0.8912,24-2
1e-06,104142000.0,0.5183,24-2
1e-05,248237000.0,0.1354,24-2
0.0001,553608000.0,0.0709,24-2
0.001,853922000.0,0.0554,24-2
0.01,1203450000.0,0.053,24-2
0.1,2903810000.0,0.0374,24-2
1.0,10288600000.0,0.0177,24-2
10.0,4146780000.0,0.0156,24-2
13.0,176143000.0,0.0226,24-2
14.0,7399010000.0,0.0168,24-2
15.0,0.0,0.0,24-2
16.0,0.0,0.0,24-2
20.0,0.0,0.0,24-2
1e-10,0.0,0.0,24-3
1e-09,0.0,0.0,24-3
1e-08,0.0,0.0,24-3
1e-07,1024060.0,0.7396,24-3
1e-06,47523600.0,0.3205,24-3
1e-05,175297000.0,0.0713,24-3
0.0001,415162000.0,0.06,24-3
0.001,728561000.0,0.0584,24-3
0.01,1057420000.0,0.0548,24-3
0.1,2459440000.0,0.041,24-3
1.0,7696050000.0,0.045,24-3
10.0,3034400000.0,0.0847,24-3
13.0,135480000.0,0.1577,24-3
14.0,13558600000.0,0.1395,24-3
15.0,0.0,0.0,24-3
16.0,0.0,0.0,24-3
20.0,0.0,0.0,24-3
1e-10,0.0,0.0,24-4
1e-09,0.0,0.0,24-4
1e-08,0.0,0.0,24-4
1e-07,28586.7,0.7359,24-4
1e-06,2776350.0,0.0854,24-4
1e-05,36648000.0,0.0358,24-4
0.0001,115344000.0,0.0336,24-4
0.001,227859000.0,0.0317,24-4
0.01,337585000.0,0.0305,24-4
0.1,807287000.0,0.0295,24-4
1.0,1621920000.0,0.0404,24-4
10.0,201767000.0,0.0741,24-4
13.0,4708020.0,0.0951,24-4
14.0,20606700.0,0.1165,24-4
15.0,0.0,0.0,24-4
16.0,0.0,0.0,24-4
20.0,0.0,0.0,24-4
total,3376520000.0,0.0362,24-4
1e-10,0.0,0.0,25-1
1e-09,0.0,0.0,25-1
1e-08,0.0,0.0,25-1
1e-07,4002.86,0.3441,25-1
1e-06,879190.0,0.156,25-1
1e-05,8911860.0,0.086,25-1
0.0001,26797800.0,0.0521,25-1
0.001,68000400.0,0.0363,25-1
0.01,138758000.0,0.0226,25-1
0.1,1092250000.0,0.0119,25-1
1.0,11156600000.0,0.0111,25-1
10.0,5868070000.0,0.0138,25-1
13.0,301748000.0,0.0155,25-1
14.0,4624010000.0,0.0211,25-1
15.0,0.0,0.0,25-1
16.0,0.0,0.0,25-1
20.0,0.0,0.0,25-1
1e-10,0.0,0.0,25-2
1e-09,0.0,0.0,25-2
1e-08,3.45187,1.0,25-2
1e-07,6615.11,0.4769,25-2
1e-06,801297.0,0.1298,25-2
1e-05,7883520.0,0.0622,25-2
0.0001,21764100.0,0.0486,25-2
0.001,46014900.0,0.0415,25-2
0.01,78775700.0,0.0327,25-2
0.1,522019000.0,0.0183,25-2
1.0,3972650000.0,0.0145,25-2
10.0,1620940000.0,0.0138,25-2
13.0,81085600.0,0.0136,25-2
14.0,1076340000.0,0.0147,25-2
15.0,4.29418,1.0,25-2
16.0,0.0,0.0,25-2
20.0,0.0,0.0,25-2
1e-10,0.0,0.0,25-3
1e-09,0.0,0.0,25-3
1e-08,0.0,0.0,25-3
1e-07,1587.09,0.3764,25-3
1e-06,422900.0,0.0763,25-3
1e-05,4962840.0,0.0606,25-3
0.0001,15404900.0,0.0491,25-3
0.001,32431800.0,0.0451,25-3
0.01,52016600.0,0.0418,25-3
0.1,309154000.0,0.037,25-3
1.0,1856940000.0,0.0557,25-3
10.0,781524000.0,0.0864,25-3
13.0,41850100.0,0.0928,25-3
14.0,1197260000.0,0.1233,25-3
15.0,0.0,0.0,25-3
16.0,0.0,0.0,25-3
20.0,0.0,0.0,25-3
1e-10,0.0,0.0,25-4
1e-09,0.0,0.0,25-4
1e-08,0.0,0.0,25-4
1e-07,295.817,0.1984,25-4
1e-06,111814.0,0.0368,25-4
1e-05,1605980.0,0.0346,25-4
0.0001,5325300.0,0.0329,25-4
0.001,11230100.0,0.0321,25-4
0.01,17089200.0,0.0323,25-4
0.1,91647400.0,0.0342,25-4
1.0,347103000.0,0.0513,25-4
10.0,64885400.0,0.0843,25-4
13.0,2792470.0,0.0956,25-4
14.0,22229900.0,0.1063,25-4
15.0,0.0,0.0,25-4
16.0,0.0,0.0,25-4
20.0,0.0,0.0,25-4
total,564021000.0,0.0525,25-4
