Cells,Time,Value,Error
10,1.0,1863820.0,0.0113
10,2.0,1714930.0,0.0113
11,1.0,1510000.0,0.0133
11,2.0,1389710.0,0.0133
12,1.0,1041100.0,0.0184
12,2.0,958261.0,0.0185
13,1.0,660762.0,0.0257
13,2.0,608300.0,0.0257
