Cells,Time,Value,Error
10,1.0,0.0173053,0.0114
10,2.0,0.0160043,0.0114
11,1.0,0.0140535,0.0133
11,2.0,0.0130002,0.0133
12,1.0,0.00972763,0.0184
12,2.0,0.00899932,0.0184
13,1.0,0.00620521,0.0257
13,2.0,0.00574159,0.0256
