Time,Value,Error
4380.0,0.000288992,0.002
6180.0,0.000253023,0.002
7488.0,0.000229752,0.002
11580.0,0.000170008,0.002
17280.0,0.000112009,0.002
24480.0,6.64837e-05,0.002
34080.0,3.36873e-05,0.0021
45780.0,1.53727e-05,0.0025
57240.0,7.75764e-06,0.0038
72550.0,3.84039e-06,0.0066
90720.0,2.38192e-06,0.0096
132000.0,1.67933e-06,0.0109
212400.0,1.29497e-06,0.0094
345600.0,9.49101e-07,0.0067
479300.0,7.66195e-07,0.0049
708500.0,6.18852e-07,0.0037
1050000.0,5.36939e-07,0.0035
1670000.0,4.80889e-07,0.0036
1710000.0,4.78368e-07,0.0036
