User,Time,Value,Error
0.0,4380.0,0.0,0.0
0.0,6180.0,0.0,0.0
0.0,7488.0,0.0,0.0
0.0,11580.0,0.0,0.0
0.0,17280.0,0.0,0.0
0.0,24480.0,0.0,0.0
0.0,34080.0,0.0,0.0
0.0,45780.0,0.0,0.0
0.0,57240.0,0.0,0.0
0.0,72550.0,0.0,0.0
0.0,90720.0,0.0,0.0
0.0,132000.0,0.0,0.0
0.0,212400.0,0.0,0.0
0.0,345600.0,0.0,0.0
0.0,479300.0,0.0,0.0
0.0,708500.0,0.0,0.0
0.0,1050000.0,0.0,0.0
0.0,1670000.0,0.0,0.0
0.0,1710000.0,0.0,0.0
V51,4380.0,2.35872e-08,0.1577
V51,6180.0,2.34007e-08,0.1577
V51,7488.0,2.32662e-08,0.1577
V51,11580.0,2.28502e-08,0.1577
V51,17280.0,2.22831e-08,0.1577
V51,24480.0,2.15868e-08,0.1577
V51,34080.0,2.06922e-08,0.1577
V51,45780.0,1.96519e-08,0.1577
V51,57240.0,1.86836e-08,0.1577
V51,72550.0,1.7464e-08,0.1577
V51,90720.0,1.61195e-08,0.1577
V51,132000.0,1.34372e-08,0.1577
V51,212400.0,9.42668e-09,0.1577
V51,345600.0,5.2397e-09,0.1577
V51,479300.0,2.90601e-09,0.1577
V51,708500.0,1.05785e-09,0.1577
V51,1050000.0,2.34703e-10,0.1577
V51,1670000.0,1.52525e-11,0.1577
V51,1710000.0,1.27864e-11,0.1577
Cr50,4380.0,1.97326e-08,0.0065
Cr50,6180.0,1.97223e-08,0.0065
Cr50,7488.0,1.97149e-08,0.0065
Cr50,11580.0,1.96915e-08,0.0065
Cr50,17280.0,1.9659e-08,0.0065
Cr50,24480.0,1.96181e-08,0.0065
Cr50,34080.0,1.95636e-08,0.0065
Cr50,45780.0,1.94974e-08,0.0065
Cr50,57240.0,1.94328e-08,0.0065
Cr50,72550.0,1.93469e-08,0.0065
Cr50,90720.0,1.92453e-08,0.0065
Cr50,132000.0,1.90166e-08,0.0065
Cr50,212400.0,1.8579e-08,0.0065
Cr50,345600.0,1.78759e-08,0.0065
Cr50,479300.0,1.7197e-08,0.0065
Cr50,708500.0,1.60926e-08,0.0065
Cr50,1050000.0,1.45772e-08,0.0065
Cr50,1670000.0,1.21814e-08,0.0065
Cr50,1710000.0,1.20411e-08,0.0065
Cr52,4380.0,2.89634e-08,0.0251
Cr52,6180.0,2.89483e-08,0.0251
Cr52,7488.0,2.89374e-08,0.0251
Cr52,11580.0,2.89031e-08,0.0251
Cr52,17280.0,2.88554e-08,0.0251
Cr52,24480.0,2.87953e-08,0.0251
Cr52,34080.0,2.87154e-08,0.0251
Cr52,45780.0,2.86182e-08,0.0251
Cr52,57240.0,2.85234e-08,0.0251
Cr52,72550.0,2.83972e-08,0.0251
Cr52,90720.0,2.82482e-08,0.0251
Cr52,132000.0,2.79125e-08,0.0251
Cr52,212400.0,2.72701e-08,0.0251
Cr52,345600.0,2.62382e-08,0.0251
Cr52,479300.0,2.52417e-08,0.0251
Cr52,708500.0,2.36206e-08,0.0251
Cr52,1050000.0,2.13964e-08,0.0251
Cr52,1670000.0,1.78798e-08,0.0251
Cr52,1710000.0,1.76738e-08,0.0251
Mn55,4380.0,0.000154919,0.001
Mn55,6180.0,0.000135464,0.001
Mn55,7488.0,0.000122878,0.001
Mn55,11580.0,9.0572e-05,0.001
Mn55,17280.0,5.92195e-05,0.001
Mn55,24480.0,3.46265e-05,0.001
Mn55,34080.0,1.69345e-05,0.001
Mn55,45780.0,7.0878e-06,0.001
Mn55,57240.0,3.02558e-06,0.001
Mn55,72550.0,9.77573e-07,0.001
Mn55,90720.0,2.64643e-07,0.0013
Mn55,132000.0,2.81403e-08,0.0088
Mn55,212400.0,1.67161e-08,0.0147
Mn55,345600.0,1.66306e-08,0.0147
Mn55,479300.0,1.65736e-08,0.0147
Mn55,708500.0,1.64763e-08,0.0147
Mn55,1050000.0,1.63323e-08,0.0147
Mn55,1670000.0,1.60741e-08,0.0147
Mn55,1710000.0,1.60576e-08,0.0147
Fe54,4380.0,3.94192e-08,0.009
Fe54,6180.0,3.94163e-08,0.009
Fe54,7488.0,3.94142e-08,0.009
Fe54,11580.0,3.94076e-08,0.009
Fe54,17280.0,3.93983e-08,0.009
Fe54,24480.0,3.93867e-08,0.009
Fe54,34080.0,3.93712e-08,0.009
Fe54,45780.0,3.93523e-08,0.009
Fe54,57240.0,3.93338e-08,0.009
Fe54,72550.0,3.93092e-08,0.009
Fe54,90720.0,3.92801e-08,0.009
Fe54,132000.0,3.92141e-08,0.0089
Fe54,212400.0,3.90867e-08,0.0089
Fe54,345600.0,3.88784e-08,0.0088
Fe54,479300.0,3.8673e-08,0.0087
Fe54,708500.0,3.83287e-08,0.0086
Fe54,1050000.0,3.78333e-08,0.0085
Fe54,1670000.0,3.69824e-08,0.0083
Fe54,1710000.0,3.69295e-08,0.0083
Fe56,4380.0,0.000130728,0.0042
Fe56,6180.0,0.00011431,0.0042
Fe56,7488.0,0.000103688,0.0042
Fe56,11580.0,7.64235e-05,0.0042
Fe56,17280.0,4.99638e-05,0.0042
Fe56,24480.0,2.92087e-05,0.0042
Fe56,34080.0,1.42776e-05,0.0042
Fe56,45780.0,5.96756e-06,0.0042
Fe56,57240.0,2.53928e-06,0.0042
Fe56,72550.0,8.10886e-07,0.0042
Fe56,90720.0,2.09221e-07,0.0042
Fe56,132000.0,9.64093e-09,0.0042
Fe56,212400.0,2.87092e-11,0.1636
Fe56,345600.0,4.67977e-12,0.9998
Fe56,479300.0,4.66255e-12,1.0
Fe56,708500.0,4.63517e-12,1.0
Fe56,1050000.0,4.59467e-12,1.0
Fe56,1670000.0,4.52204e-12,1.0
Fe56,1710000.0,4.51739e-12,1.0
Fe57,4380.0,4.91571e-07,0.0712
Fe57,6180.0,4.29834e-07,0.0712
Fe57,7488.0,3.89893e-07,0.0712
Fe57,11580.0,2.87371e-07,0.0712
Fe57,17280.0,1.87876e-07,0.0712
Fe57,24480.0,1.09832e-07,0.0712
Fe57,34080.0,5.36872e-08,0.0712
Fe57,45780.0,2.24395e-08,0.0712
Fe57,57240.0,9.54831e-09,0.0712
Fe57,72550.0,3.04911e-09,0.0712
Fe57,90720.0,7.86703e-10,0.0712
Fe57,132000.0,3.62346e-11,0.0712
Fe57,212400.0,9.03007e-14,0.0712
Fe57,345600.0,4.39079e-18,0.0712
Fe57,479300.0,2.05685e-22,0.0712
Fe57,708500.0,7.78895e-30,0.0712
Fe57,1050000.0,6.81347e-41,0.0712
Fe57,1670000.0,5.71677e-61,0.0712
Fe57,1710000.0,2.89675e-62,0.0712
Fe58,4380.0,2.71994e-08,0.0082
Fe58,6180.0,2.71906e-08,0.0082
Fe58,7488.0,2.71842e-08,0.0082
Fe58,11580.0,2.71641e-08,0.0082
Fe58,17280.0,2.71362e-08,0.0082
