Time,Value,Error
6.2767,0.0,0.0
6.31605,0.0,0.0
6.3554,0.0,0.0
6.39475,0.0,0.0
6.4341,0.0,0.0
6.47345,0.0,0.0
6.5128,0.0,0.0
6.55215,0.0,0.0
6.5915,0.0,0.0
6.63085,0.0,0.0
6.6702,2.09402e-16,0.5317
6.70955,2.66685e-13,0.0622
6.7489,3.67626e-11,0.0078
6.78825,3.55801e-10,0.0057
6.8276,7.28304e-10,0.0026
6.86695,4.89705e-10,0.0055
6.9063,2.698e-10,0.0118
6.94565,1.69842e-10,0.0165
6.985,1.20961e-10,0.018
7.02435,9.97988e-11,0.0168
7.0637,8.41076e-11,0.0194
7.10305,7.15393e-11,0.026
7.1424,5.52289e-11,0.0134
7.18175,4.89641e-11,0.0218
7.2211,4.32339e-11,0.0283
7.26045,3.56148e-11,0.0204
7.2998,3.35849e-11,0.033
7.33915,3.09692e-11,0.0409
7.3785,2.43548e-11,0.0231
7.41785,2.61154e-11,0.0537
7.4572,2.11958e-11,0.034
7.49655,2.07828e-11,0.0705
7.5359,1.86154e-11,0.0528
7.57525,2.14832e-11,0.106
7.6146,1.86284e-11,0.0659
7.81135,1.0844e-10,0.0548
8.0081,9.72483e-11,0.0923
8.20485,1.00273e-10,0.0525
8.4016,1.23697e-10,0.066
8.59835,1.00172e-10,0.0517
8.7951,9.06227e-11,0.061
8.99185,7.41044e-11,0.0423
9.1886,7.08816e-11,0.0398
9.38535,6.99278e-11,0.0606
9.5821,6.31948e-11,0.0394
9.77885,6.26049e-11,0.0473
9.9756,6.46066e-11,0.055
10.1723,6.08789e-11,0.0423
10.3691,6.18179e-11,0.0391
10.5659,5.80331e-11,0.0388
10.7626,6.31478e-11,0.0465
10.9593,6.18336e-11,0.0443
11.1561,6.3511e-11,0.042
11.3529,6.16093e-11,0.0337
11.5496,6.5684e-11,0.0347
11.7463,6.81385e-11,0.0598
11.9431,6.85969e-11,0.0335
12.1399,7.41905e-11,0.0406
12.3366,6.83436e-11,0.0289
12.5333,6.9747e-11,0.0374
12.7301,7.19366e-11,0.037
12.9269,7.34393e-11,0.0336
13.1236,7.61845e-11,0.0336
13.3204,7.8827e-11,0.0526
13.5171,7.70439e-11,0.0248
13.7138,8.53279e-11,0.0368
13.9106,8.11502e-11,0.0223
14.1073,8.62391e-11,0.032
14.3041,8.52405e-11,0.0304
14.5009,9.00586e-11,0.0237
14.6976,9.43014e-11,0.026
14.8944,1.01165e-10,0.0601
15.0911,1.00588e-10,0.0217
15.2879,1.00418e-10,0.0318
15.4846,1.04427e-10,0.0219
15.6813,1.05106e-10,0.0179
15.8781,1.11215e-10,0.0213
16.0749,1.2863e-10,0.0538
16.2716,1.26601e-10,0.0204
16.4683,1.28566e-10,0.0195
16.6651,1.32859e-10,0.018
16.8619,1.34837e-10,0.018
17.0586,1.36445e-10,0.0186
17.2553,1.37387e-10,0.0165
17.4521,1.41048e-10,0.0228
17.6489,1.49454e-10,0.0299
17.8456,1.52622e-10,0.0202
18.0423,1.53493e-10,0.0169
18.2391,1.59836e-10,0.0161
18.4359,1.6536e-10,0.0174
18.6326,1.68538e-10,0.0192
18.8293,1.69274e-10,0.0159
19.0261,1.68958e-10,0.0178
19.2229,1.66128e-10,0.0152
19.4196,1.75305e-10,0.0227
19.6163,1.67054e-10,0.0183
19.8131,1.61781e-10,0.0163
20.0099,1.62052e-10,0.0181
20.2066,1.63388e-10,0.0211
20.4033,1.51639e-10,0.0186
20.6001,1.48663e-10,0.0143
20.7969,1.50234e-10,0.0154
20.9936,1.44504e-10,0.0149
21.1903,1.46342e-10,0.0193
21.3871,1.41448e-10,0.0146
21.5839,1.41352e-10,0.0146
21.7806,1.41441e-10,0.0165
21.9773,1.42648e-10,0.0165
22.1741,1.46194e-10,0.0215
22.3709,1.44925e-10,0.0136
22.5676,1.49713e-10,0.0165
22.7643,1.47576e-10,0.0147
22.9611,1.51878e-10,0.0191
23.1578,1.48437e-10,0.0176
23.3546,1.39738e-10,0.0153
23.5513,1.35047e-10,0.0217
23.7481,1.24914e-10,0.0141
23.9449,1.22362e-10,0.018
24.1416,1.14512e-10,0.0164
24.3383,1.14556e-10,0.0264
24.5351,1.04181e-10,0.0195
24.7318,1.01221e-10,0.0204
24.9286,9.78873e-11,0.0311
25.1254,9.50642e-11,0.0219
25.3221,8.23741e-11,0.0194
25.5189,8.0382e-11,0.0223
25.7156,7.43617e-11,0.0228
25.9124,7.02098e-11,0.0228
26.1091,6.59772e-11,0.0282
26.3058,5.98627e-11,0.0408
26.5026,5.83606e-11,0.037
26.6993,4.94073e-11,0.034
26.8961,4.9091e-11,0.0424
27.0929,4.42104e-11,0.0354
27.2896,4.03438e-11,0.0378
27.4863,3.66977e-11,0.0705
total,1.3627e-08,0.0034
