User,Time,Value,Error
0.0,1.0,0.0160146,0.0
0.0,2.0,0.0159993,0.0
0.0,3.0,0.0158826,0.0
0.0,4.0,0.0145523,0.0
0.0,5.0,0.0124948,0.0
0.0,6.0,1.27541e-15,0.0
total,6.0,1.27541e-15,0.0
