Time,Value,Error,abs_error
D1.0,7.5483,0.0062,0.04679946
D2.0,7.33108,0.0062,0.045452696
D3.0,5.86519,0.0062,0.036364178
D4.0,0.407108,0.0062,0.0025240696
D5.0,0.0038979,0.0062,2.416698e-05
D6.0,0.0,0.0,0.0
