Time,Value,Error
1.0,1.75125e-05,0.0002
2.0,8.30878e-06,0.0002
3.0,2.79016e-08,0.0002
4.0,7.28368e-38,0.0002
5.0,2.05024e-89,0.0002
6.0,0.0,0.0
