Time,Value,Error,abs_error
D1.0,3.52198,0.002,0.00704396
D2.0,3.52183,0.002,0.00704366
D3.0,3.52071,0.002,0.00704142
D4.0,3.50733,0.002,0.007014660000000001
D5.0,3.48414,0.002,0.00696828
D6.0,0.947828,0.002,0.0018956560000000001
