Time,Value,Error,abs_error
D1.0,530.672,0.0004,0.2122688
D2.0,530.301,0.0004,0.21212040000000001
D3.0,527.475,0.0004,0.21099
D4.0,494.825,0.0004,0.19793
D5.0,442.686,0.0004,0.1770744
D6.0,1.43496e-07,0.0004,5.7398400000000004e-11
