User,Segments,Value,Error
0.0,1,1024660000000000.0,0.0044
0.0,2,23123900000000.0,0.0001
0.0,3,541865000000000.0,0.006
1.0,1,175614000000000.0,0.0105
1.0,2,3512570000000.0,0.0003
1.0,3,75299700000000.0,0.0159
