User,Segments,Value,Error
0.0,1,471970000000000.0,0.0077
0.0,2,41880600000000.0,0.0001
0.0,3,480069000000000.0,0.0076
1.0,1,111129000000000.0,0.0332
1.0,2,10076800000000.0,0.0009
1.0,3,109845000000000.0,0.0353
total,3,589914000000000.0,0.009
