User,Segments,Value,Error
0.0,1,0.0,0.0
0.0,2,28869800000000.0,0.0007
0.0,3,38887300000000.0,0.0005
0.0,4,46272000000000.0,0.0005
0.0,5,46085800000000.0,0.0005
0.0,6,38326600000000.0,0.0005
0.0,7,28289600000000.0,0.0007
0.0,8,0.0,0.0
1.0,1,0.0,0.0
1.0,2,6895850000000.0,0.0013
1.0,3,7454330000000.0,0.0012
1.0,4,7991130000000.0,0.001
1.0,5,7899290000000.0,0.001
1.0,6,7194040000000.0,0.0011
1.0,7,6388570000000.0,0.001
1.0,8,0.0,0.0
