User,Segments,Value,Error
0.0,1,0.0,0.0
0.0,2,22896900000000.0,0.0002
0.0,3,0.0,0.0
1.0,1,0.0,0.0
1.0,2,6822970000000.0,0.0015
1.0,3,0.0,0.0
