User,Segments,Value,Error
0.0,1,1517450000000000.0,0.0045
0.0,2,32048300000000.0,0.0001
0.0,3,719148000000000.0,0.0062
1.0,1,422434000000000.0,0.0221
1.0,2,8409400000000.0,0.0008
1.0,3,186448000000000.0,0.0291
