User,Segments,Value,Error
0.0,1,347998000000000.0,0.0075
0.0,2,31481200000000.0,0.0001
0.0,3,362598000000000.0,0.0074
1.0,1,43471900000000.0,0.0209
1.0,2,4109140000000.0,0.0003
1.0,3,44010100000000.0,0.0207
