User,Segments,Value,Error
0.0,1,0.0,0.0
0.0,2,12535000000000.0,0.0002
0.0,3,20090500000000.0,0.0002
0.0,4,26244400000000.0,0.0002
0.0,5,26034200000000.0,0.0002
0.0,6,19664300000000.0,0.0002
0.0,7,12223600000000.0,0.0002
0.0,8,0.0,0.0
1.0,1,0.0,0.0
1.0,2,3018210000000.0,0.0005
1.0,3,3360750000000.0,0.0005
1.0,4,3658880000000.0,0.0004
1.0,5,3628470000000.0,0.0004
1.0,6,3265740000000.0,0.0005
1.0,7,2849560000000.0,0.0005
1.0,8,0.0,0.0
