Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,2.7819219404703076e-07,0.0032587730119757576,0.01,0.1,41.8 deg
0.1 - 1,1.091845842157765e-06,0.001536173678670521,0.1,1.0,41.8 deg
1 - 3.5,1.3959160224063294e-07,0.006524697303716187,1.0,3.5,41.8 deg
3.5 - 10,1.4746401927271919e-08,0.040448215188419796,3.5,10.0,41.8 deg
10 - 20,2.3297379781527415e-08,0.05031786740326171,10.0,20.0,41.8 deg
