Value,Error,Energy,Angle
1.8244667298362606e-06,0.058367261401877,0.01 - 0.1,24.9 deg
1.6742766715039046e-05,0.021155382216141376,0.1 - 1,24.9 deg
2.8842162752187415e-05,0.013609717942792176,1 - 3.5,24.9 deg
2.4137714959787093e-05,0.01569315448276142,3.5 - 10,24.9 deg
9.430538402921605e-05,0.008253102298286333,10 - 20,24.9 deg
