Energy,Value,Error,Angle
0.011927,1.4670025342927612e-09,0.0284,41.8 deg
0.0125385,3.1656723457438943e-08,0.0696,41.8 deg
0.0131815,3.1937943765449205e-08,0.0728,41.8 deg
0.013857,3.038306919734355e-08,0.069,41.8 deg
0.0145675,3.270196495504715e-08,0.0842,41.8 deg
0.0153145,3.085023655135618e-08,0.0705,41.8 deg
0.0160995,3.005173813722318e-08,0.0686,41.8 deg
0.016925,3.1005965591808796e-08,0.075,41.8 deg
0.017793,2.9505749861670523e-08,0.0794,41.8 deg
0.0187055,3.239471639171168e-08,0.0746,41.8 deg
0.0196645,3.757236772990083e-08,0.079,41.8 deg
0.0206725,3.6916874415677195e-08,0.0796,41.8 deg
0.021732,3.1183729201527435e-08,0.0774,41.8 deg
0.0228465,4.3969355852383296e-08,0.0739,41.8 deg
0.024018,6.691288367984403e-08,0.0578,41.8 deg
0.025249,2.1706779550422425e-07,0.0321,41.8 deg
0.0265435,2.43288049694189e-07,0.0279,41.8 deg
0.0279045,1.9555539476857717e-08,0.0736,41.8 deg
0.0293355,7.1634470553025425e-09,0.1465,41.8 deg
0.0308395,1.731679028823866e-08,0.0807,41.8 deg
0.0324205,3.677977007140553e-08,0.0644,41.8 deg
0.034083,5.1955907879174194e-08,0.0506,41.8 deg
0.0358305,5.467716918029412e-08,0.0458,41.8 deg
0.0376675,6.86769167517088e-08,0.0424,41.8 deg
0.039599,8.218758946916166e-08,0.0401,41.8 deg
0.0416295,9.251420600091659e-08,0.0376,41.8 deg
0.0437635,1.0646358018150216e-07,0.0361,41.8 deg
0.046007,1.1734523749109154e-07,0.0346,41.8 deg
0.048366,1.2494218231879086e-07,0.0327,41.8 deg
0.050846,1.5073482837634157e-07,0.0305,41.8 deg
0.053453,1.2082024308613052e-07,0.033,41.8 deg
0.0561935,1.261084152241501e-07,0.0325,41.8 deg
0.0590745,1.611881855824342e-07,0.0301,41.8 deg
0.0621035,1.7377261243002767e-07,0.0289,41.8 deg
0.0652875,1.9290596828856174e-07,0.0279,41.8 deg
0.0686345,2.6316973808131177e-07,0.0248,41.8 deg
0.0721535,3.690885281490283e-07,0.0217,41.8 deg
0.075853,1.9995495064806496e-07,0.0275,41.8 deg
0.079742,3.1205520261968736e-07,0.022,41.8 deg
0.0838305,5.274209374947608e-07,0.0199,41.8 deg
0.088129,1.349439881764529e-07,0.0299,41.8 deg
