Energy,Value,Error,Angle
0.01 - 0.1,7.1238699434683826e-06,0.0036079791739853343,66.8 deg
0.1 - 1,3.0113264380172805e-05,0.0019877158467433444,66.8 deg
1 - 3.5,1.6905967310716898e-06,0.009661686838155934,66.8 deg
3.5 - 10,1.4526081901171817e-07,0.056272546985316516,66.8 deg
10 - 20,6.775716746455334e-08,0.09639241319823862,66.8 deg
