Energy,Value,Error,Angle
0.011927,3.503358013365305e-10,0.0455,66.8 deg
0.0125385,1.0359491298611847e-08,0.1228,66.8 deg
0.0131815,9.723673474691476e-09,0.1203,66.8 deg
0.013857,1.3924111019034296e-08,0.1181,66.8 deg
0.0145675,1.3677576143483387e-08,0.1046,66.8 deg
0.0153145,1.5784827398522526e-08,0.103,66.8 deg
0.0160995,1.9720664215157778e-08,0.0913,66.8 deg
0.016925,1.7924828268478516e-08,0.0988,66.8 deg
0.017793,1.9326218172161416e-08,0.0868,66.8 deg
0.0187055,1.89293164772589e-08,0.085,66.8 deg
0.0196645,2.1916947828475627e-08,0.0863,66.8 deg
0.0206725,2.7347433241856447e-08,0.0816,66.8 deg
0.021732,2.8265450259819892e-08,0.076,66.8 deg
0.0228465,3.2411753728784114e-08,0.0747,66.8 deg
0.024018,3.106151086237313e-08,0.0698,66.8 deg
0.025249,3.396454676514063e-08,0.0703,66.8 deg
0.0265435,4.0693946444367615e-08,0.0667,66.8 deg
0.0279045,4.1559248659503825e-08,0.0607,66.8 deg
0.0293355,4.5195980638187276e-08,0.0606,66.8 deg
0.0308395,4.719893597361528e-08,0.059,66.8 deg
0.0324205,5.311153294987594e-08,0.0509,66.8 deg
0.034083,6.117187249478307e-08,0.0512,66.8 deg
0.0358305,6.575400086781227e-08,0.0492,66.8 deg
0.0376675,7.245945536757823e-08,0.0458,66.8 deg
0.039599,9.025058776691806e-08,0.0416,66.8 deg
0.0416295,7.29326366680579e-08,0.0481,66.8 deg
0.0437635,5.232792895162309e-08,0.0566,66.8 deg
0.046007,7.715835065780585e-08,0.0483,66.8 deg
0.048366,7.892682981056356e-08,0.0464,66.8 deg
0.050846,8.531914457861296e-08,0.0446,66.8 deg
0.053453,9.448113130116121e-08,0.0426,66.8 deg
0.0561935,1.0285483796404206e-07,0.0385,66.8 deg
0.0590745,1.1215228636324929e-07,0.0384,66.8 deg
0.0621035,1.208681748877886e-07,0.0359,66.8 deg
0.0652875,1.4262040397192186e-07,0.0344,66.8 deg
0.0686345,1.4737713354478964e-07,0.0343,66.8 deg
0.0721535,1.361733190783942e-07,0.0346,66.8 deg
0.075853,1.532741162188013e-07,0.0329,66.8 deg
0.079742,7.09353826427349e-08,0.0475,66.8 deg
0.0838305,1.4405761724783712e-07,0.0337,66.8 deg
0.088129,1.671537301259541e-07,0.031,66.8 deg
0.0926475,1.824008365610622e-07,0.0299,66.8 deg
0.0973975,2.1246606008016822e-07,0.028,66.8 deg
0.102391,2.2298769240708407e-07,0.0272,66.8 deg
0.10764,2.330842648687699e-07,0.027,66.8 deg
0.11316,2.442091040159721e-07,0.0258,66.8 deg
0.11896,2.022204629949767e-07,0.0293,66.8 deg
