Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,7.985801721703211e-08,0.007939597176204061,0.01,0.1,41.8 deg
0.1 - 1,2.130885939863369e-06,0.0016204825207540507,0.1,1.0,41.8 deg
1 - 3.5,6.244217938047171e-06,0.0015294963683681292,1.0,3.5,41.8 deg
3.5 - 10,1.566855814536677e-06,0.004767299635099227,3.5,10.0,41.8 deg
10 - 20,5.986510950889076e-06,0.003642313555191677,10.0,20.0,41.8 deg
