Value,Error,Energy,Angle
4.6142488623104835e-06,0.03089928662690972,0.1 - 1,66.8 deg
1.0909493013097915e-05,0.027872638027938264,1 - 3.5,66.8 deg
7.534944087226736e-06,0.0410573836724346,3.5 - 10,66.8 deg
3.5019445421404612e-06,0.05068016516649309,10 - 20,66.8 deg
