Energy,Value,Error,Angle
3.06805,1.4650688672384614e-06,0.0126,24.9 deg
3.22535,1.282336187204748e-06,0.0137,24.9 deg
3.39075,1.1948410522840968e-06,0.0134,24.9 deg
3.5646,1.1571635741341977e-06,0.0136,24.9 deg
3.74735,1.0698005212508981e-06,0.014,24.9 deg
3.93945,1.0206973074143508e-06,0.0147,24.9 deg
4.14145,8.778328781998576e-07,0.0156,24.9 deg
4.3538,8.518598845439804e-07,0.0159,24.9 deg
4.577,9.794691442361612e-07,0.015,24.9 deg
4.81165,1.109630135576546e-06,0.0147,24.9 deg
5.05835,1.2291630545550063e-06,0.0136,24.9 deg
5.3177,1.1493136821242117e-06,0.0158,24.9 deg
5.59035,1.106369474999027e-06,0.0152,24.9 deg
5.877,1.138010882176824e-06,0.0155,24.9 deg
6.1783,1.0308095161421837e-06,0.0165,24.9 deg
6.49505,9.583937543777661e-07,0.0186,24.9 deg
6.8281,9.763588436114728e-07,0.0168,24.9 deg
7.1782,1.1218305306451897e-06,0.0165,24.9 deg
7.5462,1.006777213062789e-06,0.0195,24.9 deg
7.9331,1.247338124104606e-06,0.016,24.9 deg
8.33985,1.4232675494216836e-06,0.0166,24.9 deg
8.76745,1.5033888616854445e-06,0.0155,24.9 deg
9.21695,1.703117990012482e-06,0.0146,24.9 deg
9.6895,1.4771220375124117e-06,0.0165,24.9 deg
10.1863,1.4462332626481026e-06,0.0163,24.9 deg
10.7085,1.2077435859423688e-06,0.0184,24.9 deg
11.2575,1.2567395733293879e-06,0.0189,24.9 deg
11.835,1.1593196241906609e-06,0.0191,24.9 deg
12.442,1.5483058656252563e-06,0.0189,24.9 deg
13.0795,2.3931785720356974e-06,0.0174,24.9 deg
13.75,7.718106054096777e-06,0.01,24.9 deg
14.455,3.485091867655289e-05,0.0055,24.9 deg
15.196,3.545557226851883e-05,0.0057,24.9 deg
15.9755,6.418351059061237e-06,0.0149,24.9 deg
16.7945,7.573354134041162e-07,0.0462,24.9 deg
17.6555,8.711234719801981e-08,0.1289,24.9 deg
18.561,6.467726612715794e-09,0.4495,24.9 deg
19.5125,0.0,0.0,24.9 deg
20.464,0.0,0.0,24.9 deg
