Time,Value,Error
4380.0,0.000295113,0.0019
6180.0,0.000258393,0.0019
7488.0,0.000234636,0.0019
11580.0,0.000173644,0.0019
17280.0,0.000114432,0.0019
24480.0,6.79549e-05,0.0019
34080.0,3.44705e-05,0.002
45780.0,1.57693e-05,0.0025
57240.0,7.99108e-06,0.0037
72550.0,3.98671e-06,0.0064
90720.0,2.49191e-06,0.0093
132000.0,1.76309e-06,0.0105
212400.0,1.35434e-06,0.0091
345600.0,9.86096e-07,0.0065
479300.0,7.92412e-07,0.0047
708500.0,6.37957e-07,0.0035
1050000.0,5.53532e-07,0.0033
1670000.0,4.96448e-07,0.0033
1710000.0,4.93876e-07,0.0033
