User,Time,Value,Error
0.0,86400.0,0.0,0.0
0.0,604800.0,0.0,0.0
0.0,1296000.0,0.0,0.0
0.0,2592000.0,0.0,0.0
0.0,5184000.0,0.0,0.0
Sc48,86400.0,1.98001e-08,0.2084
Sc48,604800.0,2.01387e-09,0.2084
Sc48,1296000.0,9.56136e-11,0.2084
Sc48,2592000.0,3.15452e-13,0.2084
Sc48,5184000.0,3.43368e-18,0.2084
Cr51,86400.0,4.94409e-08,0.0232
Cr51,604800.0,4.25487e-08,0.0232
Cr51,1296000.0,3.48299e-08,0.0232
Cr51,2592000.0,2.39305e-08,0.0232
Cr51,5184000.0,1.12967e-08,0.0232
Mn56,86400.0,2.35029e-07,0.0031
Mn56,604800.0,3.84426e-24,0.0031
Mn56,1296000.0,1.59613e-46,0.0031
Mn56,2592000.0,1.72702e-88,0.0031
Mn56,5184000.0,0.0,0.0
Mn54,86400.0,5.88807e-08,0.0107
Mn54,604800.0,5.81014e-08,0.0107
Mn54,1296000.0,5.70784e-08,0.0107
Mn54,2592000.0,5.52086e-08,0.0107
Mn54,5184000.0,5.16507e-08,0.0107
Fe59,86400.0,2.76047e-08,0.0189
Fe59,604800.0,2.51414e-08,0.0189
Fe59,1296000.0,2.21956e-08,0.0189
Fe59,2592000.0,1.75706e-08,0.0189
Fe59,5184000.0,1.10109e-08,0.0189
Co60,86400.0,3.98509e-08,0.0035
Co60,604800.0,3.97649e-08,0.0035
Co60,1296000.0,3.96506e-08,0.0035
Co60,2592000.0,3.9437e-08,0.0035
Co60,5184000.0,3.90133e-08,0.0035
Co58,86400.0,3.99786e-07,0.0073
Co58,604800.0,3.77e-07,0.0073
Co58,1296000.0,3.48627e-07,0.0073
Co58,2592000.0,3.01055e-07,0.0073
Co58,5184000.0,2.24501e-07,0.0073
Co57,86400.0,3.35776e-09,0.027
Co57,604800.0,3.30676e-09,0.027
Co57,1296000.0,3.23998e-09,0.027
Co57,2592000.0,3.11836e-09,0.027
Co57,5184000.0,2.88866e-09,0.027
Ni57,86400.0,8.07947e-07,0.0339
Ni57,604800.0,5.01148e-08,0.0339
Ni57,1296000.0,1.23049e-09,0.0339
Ni57,2592000.0,1.17906e-12,0.0339
Ni57,5184000.0,1.08257e-18,0.0339
Cu64,86400.0,4.11083e-08,0.0348
Cu64,604800.0,1.58794e-11,0.0348
Cu64,1296000.0,4.46724e-16,0.0348
Cu64,2592000.0,1.31008e-24,0.0348
Cu64,5184000.0,1.12673e-41,0.0348
Nb92m,86400.0,9.8032e-09,0.1512
Nb92m,604800.0,6.50757e-09,0.1512
Nb92m,1296000.0,3.76837e-09,0.1512
Nb92m,2592000.0,1.35294e-09,0.1512
Nb92m,5184000.0,1.74395e-10,0.1512
Nb96,86400.0,1.71664e-08,0.1822
Nb96,604800.0,2.38885e-10,0.1822
Nb96,1296000.0,7.99591e-13,0.1822
Nb96,2592000.0,1.8266e-17,0.1822
Nb96,5184000.0,9.53218e-27,0.1822
Mo99,86400.0,2.5246e-07,0.0236
Mo99,604800.0,5.55635e-08,0.0236
Mo99,1296000.0,7.38331e-09,0.0236
Mo99,2592000.0,1.67781e-10,0.0236
Mo99,5184000.0,8.6641e-14,0.0236
