Cor A,Value,Error
830.0,2.08017e-07,0.000347954
833.26,3.30765e-07,0.000494177
836.52,3.31776e-07,0.000496232
839.78,3.3277e-07,0.0004964
843.04,3.3386e-07,0.00049831
846.29,3.34886e-07,0.000498389
849.55,3.36591e-07,0.000505418
852.81,3.05049e-07,0.000311775
856.07,9.48954e-08,0.000313606
859.33,3.29632e-08,0.0004944
862.59,1.93677e-08,0.000647922
865.85,1.2959e-08,0.000792216
869.11,9.16853e-09,0.000939833
872.37,6.67508e-09,0.00109271
875.63,4.91981e-09,0.00125848
878.88,3.66088e-09,0.00144029
882.14,2.75327e-09,0.00164136
885.4,2.07484e-09,0.00186777
888.66,1.57739e-09,0.00211377
891.92,1.20751e-09,0.00238416
895.18,9.27555e-10,0.00268514
898.44,7.29575e-10,0.00298759
901.7,6.69056e-10,0.00310347
904.96,1.74089e-09,0.00192172
908.22,3.06037e-09,0.00159457
911.47,3.15107e-09,0.00153966
914.73,3.09817e-09,0.0015387
917.99,3.06817e-09,0.00154496
921.25,3.14567e-09,0.00166307
924.51,3.18757e-09,0.00165315
927.77,3.20735e-09,0.00162654
931.03,3.22445e-09,0.00161198
934.29,3.24832e-09,0.00159578
937.55,3.26876e-09,0.00157956
940.81,3.29775e-09,0.00156277
944.06,3.34158e-09,0.00154779
947.32,3.40524e-09,0.00141755
950.58,3.96623e-09,0.00107506
953.84,6.09741e-09,0.00096613
957.1,1.02063e-08,0.00093831
960.36,1.05336e-08,0.000899668
963.62,8.56351e-09,0.000887028
966.88,6.04575e-09,0.000885964
970.14,4.00676e-09,0.000890864
973.39,2.60106e-09,0.00089989
976.65,1.68548e-09,0.000911597
979.91,1.10184e-09,0.000925082
983.17,7.29826e-10,0.000939858
986.43,4.89663e-10,0.00095551
989.69,3.31841e-10,0.000971796
992.95,2.0895e-10,0.000991541
996.21,1.30708e-10,0.00101389
999.47,8.20959e-11,0.00103776
1002.73,5.16333e-11,0.00106334
1005.98,3.22108e-11,0.00109078
1009.24,2.01662e-11,0.00111915
1012.5,1.27098e-11,0.00114822
1015.76,8.11625e-12,0.00117734
1019.02,5.26925e-12,0.00120711
1022.28,3.42414e-12,0.00123943
1025.54,2.52419e-12,0.00126636
1028.8,1.8592e-12,0.00128717
1032.06,1.39734e-12,0.00130266
1035.32,1.0483e-12,0.00131858
1038.57,7.56264e-13,0.00133641
1041.83,5.33907e-13,0.00135406
1045.09,4.22697e-13,0.0013655
1048.35,3.37315e-13,0.00137606
1051.61,2.56152e-13,0.00138767
1054.87,1.76826e-13,0.00140113
1058.13,1.05193e-13,0.00142476
1061.39,6.29702e-14,0.00145269
1064.65,3.76996e-14,0.00148549
1067.91,2.25794e-14,0.00152286
1071.16,1.35338e-14,0.00156474
1074.42,8.11957e-15,0.00160931
1077.68,4.97591e-15,0.00164645
1080.94,2.55302e-15,0.00167429
1084.2,1.15516e-15,0.00169542
