Cor A,Value,Error
830.0,4.59524e-07,0.000272081
833.26,6.99516e-07,0.000322388
836.52,6.97019e-07,0.000322062
839.78,6.94834e-07,0.000320745
843.04,6.9327e-07,0.000321465
846.29,6.92222e-07,0.000322606
849.55,6.91986e-07,0.000325506
852.81,6.34991e-07,0.000247852
856.07,5.1294e-07,0.000263146
859.33,4.56635e-07,0.000280421
862.59,4.11154e-07,0.000298018
865.85,3.69544e-07,0.000316755
869.11,3.30976e-07,0.000336613
872.37,2.9554e-07,0.000357589
875.63,2.63079e-07,0.000379773
878.88,2.3345e-07,0.00040337
882.14,2.06734e-07,0.000428747
885.4,1.82765e-07,0.000456647
888.66,1.61446e-07,0.000487912
891.92,1.42655e-07,0.000523639
895.18,1.26219e-07,0.000566453
898.44,1.12252e-07,0.000619794
901.7,1.00939e-07,0.000689529
904.96,9.33926e-08,0.000741098
908.22,8.4746e-08,0.000724766
911.47,7.72204e-08,0.000741344
914.73,7.07959e-08,0.000761948
917.99,6.50082e-08,0.000787378
921.25,6.06879e-08,0.000815729
924.51,5.88524e-08,0.000818656
927.77,5.71999e-08,0.000821485
931.03,5.55503e-08,0.000824809
934.29,5.39163e-08,0.000829174
937.55,5.23142e-08,0.000834367
940.81,5.07028e-08,0.000840692
944.06,4.9124e-08,0.000847989
947.32,4.71055e-08,0.000843936
950.58,3.83415e-08,0.000812833
953.84,2.79408e-08,0.00081034
957.1,2.1887e-08,0.000806907
960.36,1.31984e-08,0.000824929
963.62,5.90675e-09,0.000882099
966.88,2.35516e-09,0.000970687
970.14,8.7753e-10,0.00110286
973.39,3.17362e-10,0.00130402
976.65,1.14608e-10,0.00162782
979.91,4.26595e-11,0.00219112
983.17,1.68783e-11,0.00319705
986.43,7.30631e-12,0.00482228
989.69,3.51959e-12,0.00703211
992.95,1.79671e-12,0.00963713
996.21,1.07779e-12,0.0117501
999.47,6.97909e-13,0.0133239
1002.73,4.66495e-13,0.0145098
1005.98,3.13976e-13,0.0154502
1009.24,2.11549e-13,0.0161969
1012.5,1.4256e-13,0.0167948
1015.76,9.59975e-14,0.0172876
1019.02,6.47126e-14,0.0176831
1022.28,4.35357e-14,0.0180173
1025.54,3.26428e-14,0.018262
1028.8,2.15398e-14,0.018564
1032.06,1.38841e-14,0.0188748
1035.32,9.57647e-15,0.0191452
1038.57,6.64211e-15,0.0194032
1041.83,4.5124e-15,0.0196412
1045.09,3.32348e-15,0.0198259
1048.35,2.48655e-15,0.0200104
1051.61,1.82792e-15,0.0202099
1054.87,1.22337e-15,0.0204278
1058.13,8.81712e-16,0.0205898
1061.39,6.57733e-16,0.0207032
1064.65,4.82718e-16,0.0207991
1067.91,3.47595e-16,0.0208848
1071.16,2.47096e-16,0.0209699
1074.42,1.74837e-16,0.0210461
1077.68,1.23192e-16,0.0211214
1080.94,7.54707e-17,0.0211903
1084.2,3.9686e-17,0.0212493
