Cells,Value,Error
9.501,135.282,0.0056
15.801,147.147,0.0064
22.101,121.371,0.0073
28.401,73.8102,0.0096
9.502,125.9,0.0052
15.802,132.12,0.006
22.102,107.438,0.0069
28.402,65.2079,0.0091
9.503,121.017,0.005
15.803,123.839,0.0058
22.103,102.206,0.0068
28.403,61.3241,0.0089
9.504,118.785,0.0049
15.804,119.74,0.0057
22.104,98.268,0.0067
28.404,59.1483,0.0088
9.505,116.744,0.0048
15.805,119.112,0.0058
22.105,97.2247,0.0068
28.405,58.1189,0.0089
9.506,116.326,0.0049
15.806,119.08,0.0057
22.106,96.7889,0.0068
28.406,58.2197,0.0088
9.507,117.006,0.0048
15.807,121.431,0.0058
22.107,97.7951,0.0069
28.407,59.1242,0.0088
9.508,119.569,0.0051
15.808,125.161,0.0059
22.108,102.324,0.007
28.408,61.6498,0.0091
9.509,122.533,0.0053
15.809,132.166,0.0061
22.109,108.379,0.0072
28.409,65.0391,0.0092
9.51,128.185,0.0055
15.81,142.952,0.0063
22.11,116.947,0.0074
28.41,70.5688,0.0095
9.511,139.083,0.0059
15.811,158.749,0.0065
22.111,132.198,0.0075
28.411,79.5844,0.0096
9.512,159.207,0.0065
15.812,191.219,0.0069
22.112,162.911,0.0079
28.412,97.8042,0.0099
