Cells,Value,Error,Distance,Pellet
9.501,135.282,0.0056,9.5,1
15.801,147.147,0.0064,15.8,1
22.101,121.371,0.0073,22.1,1
28.401,73.8102,0.0096,28.4,1
9.502,125.9,0.0052,9.5,2
15.802,132.12,0.006,15.8,2
22.102,107.438,0.0069,22.1,2
28.402,65.2079,0.0091,28.4,2
9.503,121.017,0.005,9.5,3
15.803,123.839,0.0058,15.8,3
22.103,102.206,0.0068,22.1,3
28.403,61.3241,0.0089,28.4,3
9.504,118.785,0.0049,9.5,4
15.804,119.74,0.0057,15.8,4
22.104,98.268,0.0067,22.1,4
28.404,59.1483,0.0088,28.4,4
9.505,116.744,0.0048,9.5,5
15.805,119.112,0.0058,15.8,5
22.105,97.2247,0.0068,22.1,5
28.405,58.1189,0.0089,28.4,5
9.506,116.326,0.0049,9.5,6
15.806,119.08,0.0057,15.8,6
22.106,96.7889,0.0068,22.1,6
28.406,58.2197,0.0088,28.4,6
9.507,117.006,0.0048,9.5,7
15.807,121.431,0.0058,15.8,7
22.107,97.7951,0.0069,22.1,7
28.407,59.1242,0.0088,28.4,7
9.508,119.569,0.0051,9.5,08
15.808,125.161,0.0059,15.8,08
22.108,102.324,0.007,22.1,08
28.408,61.6498,0.0091,28.4,08
9.509,122.533,0.0053,9.5,09
15.809,132.166,0.0061,15.8,09
22.109,108.379,0.0072,22.1,09
28.409,65.0391,0.0092,28.4,09
9.51,128.185,0.0055,9.5,10
15.81,142.952,0.0063,15.8,10
22.11,116.947,0.0074,22.1,10
28.41,70.5688,0.0095,28.4,10
9.511,139.083,0.0059,9.5,11
15.811,158.749,0.0065,15.8,11
22.111,132.198,0.0075,22.1,11
28.411,79.5844,0.0096,28.4,11
9.512,159.207,0.0065,9.5,12
15.812,191.219,0.0069,15.8,12
22.112,162.911,0.0079,22.1,12
28.412,97.8042,0.0099,28.4,12
