Cells,Value,Error
5,0.000204731,0.0035
10,6.00641e-05,0.0064
20,7.73913e-06,0.0182
30,1.26737e-06,0.0391
40,1.9686e-07,0.0853
50,3.16771e-08,0.1938
60,1.50059e-08,0.6019
