Time,Value,Error
6.2767,0.0,0.0
6.31605,0.0,0.0
6.3554,0.0,0.0
6.39475,0.0,0.0
6.4341,0.0,0.0
6.47345,0.0,0.0
6.5128,0.0,0.0
6.55215,0.0,0.0
6.5915,0.0,0.0
6.63085,0.0,0.0
6.6702,5.3208386277000375e-15,0.5317
6.70955,6.8899872935197345e-12,0.0646
6.7489,9.339415501906025e-10,0.0078
6.78825,9.049428208386329e-09,0.0059
6.8276,1.852416772553971e-08,0.0028
6.86695,1.2432757306226246e-08,0.0055
6.9063,6.836315120711601e-09,0.0117
6.94565,4.315298602287192e-09,0.0164
6.985,3.063634053367166e-09,0.018
7.02435,2.531933926302429e-09,0.0168
7.0637,2.1473087674714224e-09,0.0196
7.10305,1.818996188055919e-09,0.0261
7.1424,1.417499364675961e-09,0.0187
7.18175,1.2448259212198291e-09,0.0218
7.2211,1.0808259212198283e-09,0.0258
7.26045,9.185667090216063e-10,0.0215
7.2998,8.52742058449795e-10,0.033
7.33915,8.079745870393947e-10,0.046
7.3785,6.217992376111853e-10,0.0231
7.41785,6.710012706480343e-10,0.0542
7.4572,5.35123252858949e-10,0.034
7.49655,5.07682337992379e-10,0.0576
7.5359,4.764015247776393e-10,0.0526
7.57525,5.457712833545139e-10,0.106
7.6146,4.687496823379845e-10,0.0659
7.81135,5.51623888182974e-10,0.0554
8.0081,4.881082592121966e-10,0.0932
8.20485,5.158017789072433e-10,0.0525
8.4016,6.221804320203311e-10,0.0665
8.59835,4.979776365946639e-10,0.0487
8.7951,4.524467598475228e-10,0.0611
8.99185,3.7514358322744646e-10,0.0422
9.1886,3.6352731893265607e-10,0.0398
9.38535,3.535898348157533e-10,0.0608
9.5821,3.251689961880563e-10,0.0394
9.77885,3.199506988564172e-10,0.047
9.9756,3.217672172808136e-10,0.0526
10.1723,3.112379257752925e-10,0.0423
10.3691,3.146681910569111e-10,0.0391
10.5659,2.9063465447154524e-10,0.0378
10.7626,3.1954194204371873e-10,0.0464
10.9593,3.1787900355871906e-10,0.0441
11.1561,3.191656504065047e-10,0.0373
11.3529,3.1285823170731766e-10,0.0337
11.5496,3.330284697508899e-10,0.0348
11.7463,3.4584443314692443e-10,0.0599
11.9431,3.487154471544722e-10,0.0336
12.1399,3.772764227642249e-10,0.0406
12.3366,3.49402135231317e-10,0.0293
12.5333,3.5444687341128645e-10,0.0374
12.7301,3.664502032520332e-10,0.0371
12.9269,3.7144207317073237e-10,0.0334
13.1236,3.8798932384341664e-10,0.0336
13.3204,4.0310670731707395e-10,0.0523
13.5171,3.9012913065582134e-10,0.0244
13.7138,4.312994407727468e-10,0.0368
13.9106,4.106183943089438e-10,0.0222
14.1073,4.3721657346212536e-10,0.0319
14.3041,4.3911280487804957e-10,0.0322
14.5009,4.5681351626016344e-10,0.0238
14.6976,4.815932892730049e-10,0.0265
14.8944,5.180233739837408e-10,0.0599
15.0911,5.078698525673572e-10,0.0213
15.2879,5.096087398373993e-10,0.0317
15.4846,5.323945094051859e-10,0.0221
15.6813,5.386222674123033e-10,0.0182
15.8781,5.665091463414644e-10,0.0215
16.0749,6.52439024390245e-10,0.0539
16.2716,6.405134722928321e-10,0.0202
16.4683,6.557803762074229e-10,0.02
16.6651,6.758689024390256e-10,0.0181
16.8619,6.872306910569118e-10,0.0181
17.0586,6.999237417386888e-10,0.0216
17.2553,7.016217590238946e-10,0.0171
17.4521,7.15985772357712e-10,0.0228
17.6489,7.575609756097576e-10,0.03
17.8456,7.745144890696497e-10,0.0202
18.0423,7.798373157092023e-10,0.0169
18.2391,8.095477642276437e-10,0.0159
18.4359,8.355182926829283e-10,0.0171
18.6326,8.561209964412817e-10,0.0191
18.8293,8.614997458057962e-10,0.016
19.0261,8.592479674796763e-10,0.0178
19.2229,8.449339430894324e-10,0.0152
19.4196,8.935129639044235e-10,0.0227
19.6163,8.44402643619726e-10,0.0181
19.8131,8.230792682926845e-10,0.0164
20.0099,8.281961382113836e-10,0.0186
20.2066,8.277630910015107e-10,0.021
20.4033,7.706151499745811e-10,0.0188
20.6001,7.625558943089444e-10,0.016
20.7969,7.64166666666668e-10,0.0155
20.9936,7.37056431113371e-10,0.0149
21.1903,7.436756481952216e-10,0.0193
21.3871,7.19161585365855e-10,0.0145
21.5839,7.186178861788631e-10,0.0146
21.7806,7.22887646161668e-10,0.0167
21.9773,7.246263345195734e-10,0.0165
22.1741,7.45365853658538e-10,0.0215
22.3709,7.401219512195135e-10,0.0137
22.5676,7.59237417386884e-10,0.0165
22.7643,7.516319267920696e-10,0.0151
22.9611,7.688668699187005e-10,0.019
23.1578,7.525775292323204e-10,0.0175
23.3546,7.103353658536598e-10,0.0153
23.5513,6.893238434163705e-10,0.0224
23.7481,6.347256097560987e-10,0.0141
23.9449,6.191107723577246e-10,0.0175
24.1416,5.817895271987802e-10,0.0165
24.3383,5.849313675648199e-10,0.0263
24.5351,5.276422764227652e-10,0.0195
24.7318,5.147381799694971e-10,0.0204
24.9286,4.974197154471554e-10,0.0312
25.1254,4.806981707317082e-10,0.0219
25.3221,4.2062074224707706e-10,0.0194
25.5189,4.0614684959349663e-10,0.0222
25.7156,3.786044738179972e-10,0.0228
25.9124,3.5752489837397796e-10,0.0226
26.1091,3.3622623284189143e-10,0.0282
26.3058,3.061987798678192e-10,0.0408
26.5026,2.957921747967485e-10,0.0369
26.6993,2.518490086426031e-10,0.0342
26.8961,2.505284552845533e-10,0.0423
27.0929,2.2353658536585407e-10,0.0354
27.2896,2.0450076258261324e-10,0.0378
27.4863,1.8660193187595334e-10,0.0704
