Value,Error,Radius,Cells
1828.79,0.0041,Bare,
20374.7,0.0015,15 mm,Input 3
32021.5,0.0004,30 mm,Input 4
40144.8,0.0003,50 mm,Input 5
21975.3,0.0002,90 mm,Input 6
