Cells,Segments,Value,Error,Radius
129,1.0,5.20497,0.0023,Bare
Input 3,,2.67522,0.0015,15 mm
Input 4,,3.02931,0.0013,30 mm
Input 5,,3.16573,0.0012,50 mm
Input 6,,2.37865,0.0011,90 mm
