Value,Error,Radius,Cells
116.152,0.014,Bare,
61.6223,0.0087,15 mm,Input 3
72.6471,0.0059,30 mm,Input 4
77.4691,0.0043,50 mm,Input 5
58.6705,0.003,90 mm,Input 6
