Value,Error,Radius,Cells
447.828,0.009,Bare,
2671.85,0.006,15 mm,Input 3
345.357,0.0034,30 mm,Input 4
397.34,0.0024,50 mm,Input 5
334.831,0.0016,90 mm,Input 6
