Value,Error,Radius,Cells
1038.34,0.0044,Bare,
11224.1,0.0016,15 mm,Input 3
17382.7,0.0004,30 mm,Input 4
21627.9,0.0003,50 mm,Input 5
11663.4,0.0002,90 mm,Input 6
