Value,Error,Radius,Cells
1919.64,0.0037,Bare,
1223.21,0.0021,15 mm,Input 3
1633.08,0.0013,30 mm,Input 4
1920.4,0.0009,50 mm,Input 5
1576.3,0.0006,90 mm,Input 6
