Value,Error,Radius,Cells
4056.82,0.003,Bare,
2776.92,0.0017,15 mm,Input 3
3958.21,0.001,30 mm,Input 4
4927.92,0.0006,50 mm,Input 5
4372.46,0.0004,90 mm,Input 6
