Value,Error,Radius,Cells
1173.74,0.0052,Bare,
10869.5,0.0022,15 mm,Input 3
13356.9,0.0006,30 mm,Input 4
15008.9,0.0005,50 mm,Input 5
6517.49,0.0004,90 mm,Input 6
