Value,Error,Radius,Cells
594.762,0.0059,Bare,
5380.38,0.0026,15 mm,Input 3
6336.81,0.0007,30 mm,Input 4
6971.14,0.0005,50 mm,Input 5
2876.45,0.0004,90 mm,Input 6
