Value,Error,Radius,Cells
35.3366,0.0207,Bare,
305.343,0.009,15 mm,Input 3
365.73,0.003,30 mm,Input 4
333.955,0.0023,50 mm,Input 5
99.4795,0.0018,90 mm,Input 6
