Cor A,Value,Error
830.0,2.65361e-13,0.000315777
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,4.03196e-13,0.000147073
856.07,2.19104e-09,0.000373559
859.33,4.6464e-09,0.00028877
862.59,2.88757e-09,0.000278815
865.85,2.38862e-09,0.000260217
869.11,2.05559e-09,0.000266271
872.37,1.74481e-09,0.000281813
875.63,1.46383e-09,0.000304096
878.88,1.21813e-09,0.000331563
882.14,1.011e-09,0.000364001
885.4,8.41733e-10,0.000402632
888.66,7.11031e-10,0.000451605
891.92,6.24392e-10,0.000533488
895.18,2.56262e-10,0.000694117
898.44,2.15537e-15,0.000735283
901.7,1.9034e-15,0.000733796
904.96,1.68787e-15,0.000739853
908.22,1.50102e-15,0.000748902
911.47,1.33715e-15,0.000759967
914.73,1.19333e-15,0.000772839
917.99,1.0663e-15,0.000787536
921.25,9.42602e-16,0.000829178
924.51,8.57811e-16,0.000851362
927.77,7.86425e-16,0.000861305
931.03,7.21889e-16,0.000872811
934.29,6.63046e-16,0.000886056
937.55,6.0928e-16,0.000899737
940.81,5.60018e-16,0.000914103
944.06,5.14661e-16,0.000929046
947.32,1.28179e-15,0.000946458
950.58,2.16597e-15,0.000986899
953.84,1.27679e-15,0.00109213
957.1,3.94834e-16,0.00122347
960.36,2.0465e-16,0.00134841
963.62,1.37822e-16,0.00145596
966.88,9.2731e-17,0.00154378
970.14,6.26615e-17,0.00161476
973.39,3.79747e-17,0.00167266
976.65,2.5283e-17,0.00171486
979.91,1.87146e-17,0.00175176
983.17,1.38292e-17,0.00178758
986.43,1.01985e-17,0.00182236
989.69,8.07444e-18,0.00185822
992.95,9.32951e-18,0.00189646
996.21,5.90958e-18,0.00193564
999.47,3.74353e-18,0.00197407
1002.73,2.01561e-18,0.00201156
1005.98,1.24328e-18,0.00203807
1009.24,9.07306e-19,0.00206174
1012.5,6.64143e-19,0.00208833
1015.76,5.96195e-19,0.00212134
1019.02,3.77337e-19,0.00215666
1022.28,2.38518e-19,0.00219052
1025.54,1.1505e-20,0.00223961
1028.8,6.67193e-20,0.00223878
1032.06,6.65383e-20,0.00227637
1035.32,3.71398e-20,0.00231299
1038.57,6.33621e-21,0.00232847
1041.83,2.45169e-20,0.00234883
1045.09,1.17342e-20,0.0023851
1048.35,6.06122e-21,0.00242007
1051.61,1.68596e-21,0.00242805
1054.87,8.47807e-21,0.00245347
1058.13,6.02232e-21,0.00247173
1061.39,4.15731e-21,0.00249275
1064.65,2.66563e-21,0.00251442
1067.91,1.70748e-21,0.0025383
1071.16,1.09277e-21,0.00256364
1074.42,6.98801e-22,0.00258973
1077.68,4.08195e-22,0.00261622
1080.94,4.339e-22,0.00263308
1084.2,2.52146e-22,0.00265365
