Cor A,Value,Error
830.0,4.7846e-10,0.000213844
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,2.33726e-08,0.000130862
856.07,4.06239e-08,0.000169612
859.33,3.80096e-08,0.000200981
862.59,2.62286e-08,0.000198369
865.85,2.11655e-08,0.000200273
869.11,1.74203e-08,0.000214536
872.37,1.42706e-08,0.000233259
875.63,1.16359e-08,0.000255728
878.88,9.45616e-09,0.000281562
882.14,7.68237e-09,0.000310965
885.4,6.26235e-09,0.000344914
888.66,5.16608e-09,0.000385821
891.92,4.39346e-09,0.000446998
895.18,1.78925e-09,0.000553016
898.44,7.90341e-11,0.000618075
901.7,7.0963e-11,0.000615751
904.96,6.40055e-11,0.000617671
908.22,5.79113e-11,0.000620967
911.47,5.25064e-11,0.000624844
914.73,4.77154e-11,0.000629589
917.99,4.34499e-11,0.00063486
921.25,3.59707e-11,0.000651907
924.51,3.22162e-11,0.000661256
927.77,2.9986e-11,0.00066358
931.03,2.79379e-11,0.000666615
934.29,2.60469e-11,0.000670338
937.55,2.42922e-11,0.000674035
940.81,2.26702e-11,0.000678208
944.06,2.11584e-11,0.000682132
947.32,5.2769e-11,0.000684214
950.58,9.36291e-11,0.000689937
953.84,5.99088e-11,0.000712878
957.1,1.84223e-10,0.000563014
960.36,1.11791e-10,0.000632594
963.62,5.78556e-11,0.000771435
966.88,3.2694e-11,0.000927017
970.14,1.98212e-11,0.00107645
973.39,1.3097e-11,0.00120728
976.65,8.69744e-12,0.00132162
979.91,5.74948e-12,0.00141968
983.17,3.86602e-12,0.00150224
986.43,2.63463e-12,0.00157283
989.69,1.77996e-12,0.00163413
992.95,9.20841e-13,0.00170468
996.21,6.69104e-13,0.00173375
999.47,4.79229e-13,0.0017651
1002.73,3.7458e-13,0.00179142
1005.98,2.65185e-13,0.00182841
1009.24,1.72505e-13,0.00187076
1012.5,1.11327e-13,0.00191178
1015.76,6.09687e-14,0.00196211
1019.02,4.37793e-14,0.00198418
1022.28,3.07522e-14,0.00200964
1025.54,3.36957e-14,0.00202217
1028.8,1.82196e-14,0.00207791
1032.06,1.14987e-14,0.00211548
1035.32,8.87514e-15,0.00214109
1038.57,7.77164e-15,0.00216353
1041.83,3.79247e-15,0.0022161
1045.09,3.18963e-15,0.00223197
1048.35,2.47641e-15,0.00225781
1051.61,2.01381e-15,0.00228225
1054.87,8.95497e-16,0.002332
1058.13,5.74569e-16,0.00235553
1061.39,3.65313e-16,0.00237803
1064.65,2.49924e-16,0.00239384
1067.91,1.70296e-16,0.00241023
1071.16,1.15781e-16,0.00242778
1074.42,7.88571e-17,0.00244489
1077.68,6.00984e-17,0.00245586
1080.94,1.33546e-17,0.00258932
1084.2,7.73268e-18,0.00260924
