Cells,Value,Error
47,608.974,0.0004
45,322.234,0.0004
43,182.219,0.0004
41,70.8291,0.0005
39,22.3172,0.0007
37,6.3998,0.0009
35,2.00217,0.0011
33,0.66268,0.0014
26,0.00541327,0.0029
30,0.120273,0.0019
29,0.0563767,0.0021
28,0.0256568,0.0024
27,0.0117297,0.0026
21,0.00100001,0.0035
55,950.545,0.0002
57,517.767,0.0002
59,293.828,0.0002
61,112.323,0.0002
63,34.3211,0.0003
65,9.52319,0.0004
67,2.90066,0.0006
69,0.936968,0.0007
72,0.173861,0.0009
73,0.0973684,0.001
74,0.0528995,0.0011
75,0.0286048,0.0013
76,0.0155334,0.0014
77,0.0084786,0.0016
78,0.00464099,0.0018
79,0.00254774,0.002
80,0.00140043,0.0022
81,0.000770844,0.0025
86,0.000147012,0.0033
