Cells,Value,Error
47,0.239368,0.0004
45,0.126775,0.0004
43,0.0718442,0.0005
41,0.0278509,0.0005
39,0.00869575,0.0007
37,0.00247586,0.0009
35,0.00076355,0.0012
33,0.000255485,0.0014
26,2.08321e-06,0.003
30,4.45996e-05,0.002
29,2.07199e-05,0.0023
28,9.61918e-06,0.0025
27,4.47121e-06,0.0028
21,3.95266e-07,0.0036
55,0.375404,0.0002
57,0.204664,0.0002
59,0.116148,0.0002
61,0.0442205,0.0002
63,0.0133835,0.0003
65,0.00368577,0.0004
67,0.00110595,0.0006
69,0.000361245,0.0007
72,6.4516e-05,0.001
73,3.55813e-05,0.0011
74,1.95758e-05,0.0012
75,1.07665e-05,0.0014
76,5.92171e-06,0.0015
77,3.26153e-06,0.0017
78,1.7959e-06,0.0019
79,9.89654e-07,0.0021
80,5.44872e-07,0.0023
81,3.00571e-07,0.0026
86,5.83364e-08,0.0034
