Cells,Value,Error
291.97,1.07025e-08,0.0043
296.44,1.31982e-08,0.0041
300.91,1.86529e-08,0.0039
305.38,2.80573e-08,0.0037
309.85,4.29265e-08,0.0036
314.32,6.61969e-08,0.0035
318.79,1.01797e-07,0.0034
323.26,1.55679e-07,0.0032
327.73,2.35374e-07,0.0032
332.2,3.51574e-07,0.0031
336.67,5.17722e-07,0.003
341.14,7.51686e-07,0.0029
345.61,1.07354e-06,0.0029
350.08,1.505e-06,0.0028
354.55,2.06674e-06,0.0028
359.02,2.77893e-06,0.0027
363.49,3.65048e-06,0.0026
367.96,4.73813e-06,0.0025
372.43,6.20464e-06,0.0024
376.9,8.42717e-06,0.0021
377.0,8.62141e-06,0.0024
395.5,1.89683e-05,0.0019
400.5,4.17169e-05,0.0016
406.6,0.000123781,0.0015
412.7,0.000286648,0.0013
418.8,0.000650336,0.0012
424.9,0.00136604,0.0011
431.0,0.0021709,0.0011
436.0,0.0029311,0.001
447.9,0.00958669,0.0008
451.0,0.0184613,0.0008
455.2,0.0296648,0.0007
458.2,0.0381178,0.0007
465.2,0.0715299,0.0005
468.2,0.122307,0.0006
473.7,0.211883,0.0004
476.7,0.319084,0.0005
481.7,0.555469,0.0003
484.7,0.850242,0.0004
487.0,1.22855,0.0003
489.0,1.45467,0.0004
490.0,1.84422,0.0003
493.6,1.91504,0.0004
493.7,2.29837,0.0005
494.2,2.44661,0.0004
495.0,1.6261,0.0004
1132.1,1.90159,0.0003
1132.6,2.85495,0.0003
1132.7,2.72965,0.0003
1136.3,2.31769,0.0002
1137.3,2.29241,0.0002
1139.3,1.84134,0.0002
1141.6,1.60331,0.0002
1144.6,1.13541,0.0002
1149.6,0.763185,0.0002
1152.6,0.450717,0.0002
1158.1,0.302398,0.0002
1161.1,0.176145,0.0003
1168.1,0.103055,0.0003
1171.1,0.0549282,0.0004
1175.3,0.0426788,0.0003
1178.4,0.0263424,0.0004
1185.3,0.0135965,0.0004
1227.8,0.0040085,0.0005
1232.49,0.00306959,0.0005
1237.18,0.00228952,0.0006
1241.87,0.00136117,0.0006
1246.56,0.000735506,0.0007
1251.25,0.000385073,0.0007
1255.94,0.000201111,0.0008
1260.63,0.000105661,0.0009
1265.32,5.61661e-05,0.001
1270.01,3.0175e-05,0.0012
1274.7,1.59152e-05,0.0013
1279.7,6.12368e-06,0.0015
1284.7,2.83404e-06,0.0018
1300.1,1.25025e-06,0.0025
1304.57,1.22401e-06,0.0021
1309.04,9.05533e-07,0.0022
1313.51,6.86846e-07,0.0024
1317.98,5.24476e-07,0.0025
1322.45,3.9532e-07,0.0026
1326.92,2.92194e-07,0.0026
1331.39,2.11597e-07,0.0027
1335.86,1.49882e-07,0.0027
1340.33,1.04397e-07,0.0028
1344.8,7.12352e-08,0.0028
1349.27,4.79623e-08,0.0029
1353.74,3.17978e-08,0.003
1358.21,2.08478e-08,0.0031
1362.68,1.35557e-08,0.0032
1367.15,8.71591e-09,0.0034
1371.62,5.5236e-09,0.0035
1376.09,3.44901e-09,0.0037
1380.56,2.08618e-09,0.0038
1385.03,1.17701e-09,0.0041
1389.5,5.44128e-10,0.0043
