Cells,Value,Error
47,6.85221,0.0004
45,3.92873,0.0004
43,2.48426,0.0004
41,1.14647,0.0004
39,0.413996,0.0005
37,0.134277,0.0007
35,0.0417261,0.0009
33,0.0163599,0.0011
26,0.000114324,0.0023
30,0.003298,0.0013
29,0.00127663,0.0016
28,0.000542459,0.0018
27,0.000241176,0.0021
21,3.35818e-05,0.0026
55,10.3353,0.0002
57,6.13244,0.0002
59,3.89156,0.0002
61,1.77749,0.0002
63,0.629204,0.0003
65,0.199305,0.0003
67,0.0606345,0.0004
69,0.0231626,0.0005
72,0.00495287,0.0006
73,0.00231427,0.0007
74,0.00116207,0.0009
75,0.000603877,0.001
76,0.000320747,0.0011
77,0.000172512,0.0013
78,9.3687e-05,0.0014
79,5.13032e-05,0.0016
80,2.83376e-05,0.0018
81,1.63929e-05,0.002
86,4.96375e-06,0.0023
